Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, PO*, A*, H*, X1*, M*, CE*, Y*, D*, CO*, PE*, B*
1, Run: 001, P, 0, 64, 0, 0, 0, 14, 14, 0, 0, 1, 0
1, Run: 002, F, 0, 22, 0, 0, 0, 0, 38, 12, 38, 0, 0
1, Run: 003, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
1, Run: 004, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
1, Run: 005, P, 0, 1, 0, 0, 0, 0, 61, 13, 61, 0, 0
1, Run: 006, F, 0, 27, 0, 0, 0, 0, 31, 11, 31, 0, 0
1, Run: 007, P, 0, 25, 0, 0, 0, 0, 35, 12, 35, 0, 0
1, Run: 008, P, 0, 5, 0, 0, 0, 0, 51, 10, 51, 0, 0
1, Run: 009, P, 0, 30, 0, 0, 0, 0, 30, 12, 30, 0, 0
1, Run: 010, P, 0, 45, 0, 0, 0, 0, 17, 13, 17, 0, 0
1, Run: 011, P, 0, 50, 0, 0, 0, 1, 11, 11, 10, 0, 0
1, Run: 012, F, 0, 7, 0, 0, 0, 0, 57, 14, 57, 0, 0
1, Run: 013, P, 0, 44, 0, 0, 0, 0, 16, 12, 16, 0, 0
1, Run: 014, F, 0, 29, 0, 0, 0, 0, 29, 11, 29, 0, 0
1, Run: 015, P, 0, 5, 0, 0, 0, 0, 53, 11, 53, 0, 0
1, Run: 016, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
1, Run: 017, F, 0, 36, 0, 0, 0, 0, 30, 15, 30, 0, 0
1, Run: 018, P, 0, 10, 0, 0, 0, 0, 48, 11, 48, 0, 0
1, Run: 019, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
1, Run: 020, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
1, Run: 021, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
1, Run: 022, P, 0, 47, 0, 0, 0, 0, 15, 13, 15, 0, 0
1, Run: 023, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
1, Run: 024, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
1, Run: 025, F, 0, 13, 0, 0, 0, 0, 45, 11, 45, 0, 0
1, Run: 026, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
1, Run: 027, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
1, Run: 028, F, 0, 14, 0, 0, 0, 0, 48, 13, 48, 0, 0
1, Run: 029, P, 0, 41, 0, 0, 0, 0, 19, 12, 19, 0, 0
1, Run: 030, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
1, Run: 031, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
1, Run: 032, F, 0, 20, 0, 0, 0, 0, 44, 14, 44, 0, 0
