Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
INVAR-1, Run: 030, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 031, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 032, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0
INVAR-1, Run: 033, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 034, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 035, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 036, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 037, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 038, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 039, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 040, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 041, P, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1
INVAR-1, Run: 042, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 043, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 044, P, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1
INVAR-1, Run: 045, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 046, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 047, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 048, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 049, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
INVAR-1, Run: 050, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 051, P, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1
INVAR-1, Run: 052, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0
INVAR-1, Run: 053, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
INVAR-1, Run: 054, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 055, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 056, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 057, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 058, P, 0, 1, 0, 0, 10, 10, 0, 0, 1, 46, 1
INVAR-1, Run: 059, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 060, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 061, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 062, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 063, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 064, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 065, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 066, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 067, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 068, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 069, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 070, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 071, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 072, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 073, P, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
INVAR-1, Run: 074, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 075, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 076, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 077, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 078, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 079, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 080, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 081, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 082, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 083, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 084, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 085, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 086, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 087, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 088, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 089, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 090, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 091, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 092, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 093, P, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
INVAR-1, Run: 094, P, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1
INVAR-1, Run: 095, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-1, Run: 096, P, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0
INVAR-1, Run: 097, P, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
INVAR-1, Run: 098, P, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
INVAR-1, Run: 099, P, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
INVAR-1, Run: 100, P, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
INVAR-10, Run: 001, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 002, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 003, P, 0, 0, 0, 0, 147, 147, 0, 0, 1, 318, 0
INVAR-10, Run: 004, P, 0, 0, 0, 0, 146, 146, 0, 0, 1, 324, 0
INVAR-10, Run: 005, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 006, P, 0, 1, 0, 0, 150, 150, 0, 0, 1, 298, 1
INVAR-10, Run: 007, P, 0, 0, 0, 0, 147, 147, 0, 0, 1, 318, 0
INVAR-10, Run: 008, P, 0, 0, 0, 0, 156, 156, 0, 0, 1, 264, 0
INVAR-10, Run: 009, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 010, P, 0, 0, 0, 0, 155, 155, 0, 0, 1, 270, 0
INVAR-10, Run: 011, P, 0, 1, 0, 0, 159, 159, 0, 0, 1, 244, 1
INVAR-10, Run: 012, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 013, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 014, P, 0, 1, 0, 0, 153, 153, 0, 0, 1, 280, 1
INVAR-10, Run: 015, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 016, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 017, P, 0, 1, 0, 0, 156, 156, 0, 0, 1, 262, 1
INVAR-10, Run: 018, P, 0, 1, 0, 0, 151, 151, 0, 0, 1, 292, 1
INVAR-10, Run: 019, P, 0, 1, 0, 0, 148, 148, 0, 0, 1, 310, 1
INVAR-10, Run: 020, P, 0, 1, 0, 0, 147, 147, 0, 0, 1, 316, 1
INVAR-10, Run: 021, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 022, P, 0, 1, 0, 0, 154, 154, 0, 0, 1, 274, 1
INVAR-10, Run: 023, P, 0, 0, 0, 0, 145, 145, 0, 0, 1, 330, 0
INVAR-10, Run: 024, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 025, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 026, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 027, P, 0, 1, 0, 0, 152, 152, 0, 0, 1, 286, 1
INVAR-10, Run: 028, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 029, P, 0, 1, 0, 0, 145, 145, 0, 0, 1, 328, 1
INVAR-10, Run: 030, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 031, P, 0, 1, 0, 0, 154, 154, 0, 0, 1, 274, 1
INVAR-10, Run: 032, P, 0, 0, 0, 0, 148, 148, 0, 0, 1, 312, 0
INVAR-10, Run: 033, P, 0, 0, 0, 0, 156, 156, 0, 0, 1, 264, 0
INVAR-10, Run: 034, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 035, P, 0, 0, 0, 0, 144, 144, 0, 0, 1, 336, 0
INVAR-10, Run: 036, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 037, P, 0, 1, 0, 0, 141, 141, 0, 0, 1, 352, 1
INVAR-10, Run: 038, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 039, P, 0, 1, 0, 0, 150, 150, 0, 0, 1, 298, 1
INVAR-10, Run: 040, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 041, P, 0, 1, 0, 0, 148, 148, 0, 0, 1, 310, 1
INVAR-10, Run: 042, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 043, P, 0, 1, 0, 0, 154, 154, 0, 0, 1, 274, 1
INVAR-10, Run: 044, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 045, P, 0, 0, 0, 0, 147, 147, 0, 0, 1, 318, 0
INVAR-10, Run: 046, P, 0, 1, 0, 0, 157, 157, 0, 0, 1, 256, 1
INVAR-10, Run: 047, P, 0, 0, 0, 0, 147, 147, 0, 0, 1, 318, 0
INVAR-10, Run: 048, P, 0, 0, 0, 0, 148, 148, 0, 0, 1, 312, 0
INVAR-10, Run: 049, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 050, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 051, P, 0, 1, 0, 0, 152, 152, 0, 0, 1, 286, 1
INVAR-10, Run: 052, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 053, P, 0, 1, 0, 0, 150, 150, 0, 0, 1, 298, 1
INVAR-10, Run: 054, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 055, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 056, P, 0, 0, 0, 0, 146, 146, 0, 0, 1, 324, 0
INVAR-10, Run: 057, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 058, P, 0, 1, 0, 0, 147, 147, 0, 0, 1, 316, 1
INVAR-10, Run: 059, P, 0, 1, 0, 0, 146, 146, 0, 0, 1, 322, 1
INVAR-10, Run: 060, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 061, P, 0, 1, 0, 0, 152, 152, 0, 0, 1, 286, 1
INVAR-10, Run: 062, P, 0, 0, 0, 0, 146, 146, 0, 0, 1, 324, 0
INVAR-10, Run: 063, P, 0, 0, 0, 0, 154, 154, 0, 0, 1, 276, 0
INVAR-10, Run: 064, P, 0, 0, 0, 0, 151, 151, 0, 0, 1, 294, 0
INVAR-10, Run: 065, P, 0, 1, 0, 0, 150, 150, 0, 0, 1, 298, 1
INVAR-10, Run: 066, P, 0, 1, 0, 0, 155, 155, 0, 0, 1, 268, 1
INVAR-10, Run: 067, P, 0, 0, 0, 0, 148, 148, 0, 0, 1, 312, 0
INVAR-10, Run: 068, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 069, P, 0, 1, 0, 0, 150, 150, 0, 0, 1, 298, 1
INVAR-10, Run: 070, P, 0, 1, 0, 0, 152, 152, 0, 0, 1, 286, 1
INVAR-10, Run: 071, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 072, P, 0, 1, 0, 0, 151, 151, 0, 0, 1, 292, 1
INVAR-10, Run: 073, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 074, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 075, P, 0, 1, 0, 0, 146, 146, 0, 0, 1, 322, 1
INVAR-10, Run: 076, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 077, P, 0, 1, 0, 0, 154, 154, 0, 0, 1, 274, 1
INVAR-10, Run: 078, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 079, P, 0, 1, 0, 0, 153, 153, 0, 0, 1, 280, 1
INVAR-10, Run: 080, P, 0, 0, 0, 0, 148, 148, 0, 0, 1, 312, 0
INVAR-10, Run: 081, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 082, P, 0, 0, 0, 0, 155, 155, 0, 0, 1, 270, 0
INVAR-10, Run: 083, P, 0, 1, 0, 0, 151, 151, 0, 0, 1, 292, 1
INVAR-10, Run: 084, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 085, P, 0, 1, 0, 0, 151, 151, 0, 0, 1, 292, 1
INVAR-10, Run: 086, P, 0, 0, 0, 0, 156, 156, 0, 0, 1, 264, 0
INVAR-10, Run: 087, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 088, P, 0, 1, 0, 0, 149, 149, 0, 0, 1, 304, 1
INVAR-10, Run: 089, P, 0, 1, 0, 0, 148, 148, 0, 0, 1, 310, 1
INVAR-10, Run: 090, P, 0, 1, 0, 0, 147, 147, 0, 0, 1, 316, 1
INVAR-10, Run: 091, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 092, P, 0, 0, 0, 0, 153, 153, 0, 0, 1, 282, 0
INVAR-10, Run: 093, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 094, P, 0, 0, 0, 0, 149, 149, 0, 0, 1, 306, 0
INVAR-10, Run: 095, P, 0, 0, 0, 0, 152, 152, 0, 0, 1, 288, 0
INVAR-10, Run: 096, P, 0, 1, 0, 0, 147, 147, 0, 0, 1, 316, 1
INVAR-10, Run: 097, P, 0, 1, 0, 0, 155, 155, 0, 0, 1, 268, 1
INVAR-10, Run: 098, P, 0, 0, 0, 0, 154, 154, 0, 0, 1, 276, 0
INVAR-10, Run: 099, P, 0, 0, 0, 0, 150, 150, 0, 0, 1, 300, 0
INVAR-10, Run: 100, P, 0, 1, 0, 0, 153, 153, 0, 0, 1, 280, 1
INVAR-2, Run: 001, P, 0, 0, 0, 0, 45, 45, 0, 0, 1, 66, 0
INVAR-2, Run: 002, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 003, P, 0, 1, 0, 0, 47, 47, 0, 0, 1, 52, 1
INVAR-2, Run: 004, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 005, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 006, P, 0, 1, 0, 0, 39, 39, 0, 0, 1, 100, 1
INVAR-2, Run: 007, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 008, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 009, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 010, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 011, P, 0, 1, 0, 0, 39, 39, 0, 0, 1, 100, 1
INVAR-2, Run: 012, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 013, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 014, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 015, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 016, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 017, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 018, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 019, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 020, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 021, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 022, P, 0, 0, 0, 0, 47, 47, 0, 0, 1, 54, 0
INVAR-2, Run: 023, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 024, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 025, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 026, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 027, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 028, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 029, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 030, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 031, P, 0, 1, 0, 0, 44, 44, 0, 0, 1, 70, 1
INVAR-2, Run: 032, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 033, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 034, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 035, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 036, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 037, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 038, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 039, P, 0, 0, 0, 0, 44, 44, 0, 0, 1, 72, 0
INVAR-2, Run: 040, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 041, P, 0, 1, 0, 0, 39, 39, 0, 0, 1, 100, 1
INVAR-2, Run: 042, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 043, P, 0, 0, 0, 0, 40, 40, 0, 0, 1, 96, 0
INVAR-2, Run: 044, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 045, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 046, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 047, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 048, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 049, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 050, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 051, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 052, P, 0, 0, 0, 0, 38, 38, 0, 0, 1, 108, 0
INVAR-2, Run: 053, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 054, P, 0, 1, 0, 0, 37, 37, 0, 0, 1, 112, 1
INVAR-2, Run: 055, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 056, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 057, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 058, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 059, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 060, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 061, P, 0, 0, 0, 0, 45, 45, 0, 0, 1, 66, 0
INVAR-2, Run: 062, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 063, P, 0, 1, 0, 0, 45, 45, 0, 0, 1, 64, 1
INVAR-2, Run: 064, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 065, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 066, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 067, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 068, P, 0, 0, 0, 0, 39, 39, 0, 0, 1, 102, 0
INVAR-2, Run: 069, P, 0, 0, 0, 0, 40, 40, 0, 0, 1, 96, 0
INVAR-2, Run: 070, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 071, P, 0, 1, 0, 0, 39, 39, 0, 0, 1, 100, 1
INVAR-2, Run: 072, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 073, P, 0, 0, 0, 0, 44, 44, 0, 0, 1, 72, 0
INVAR-2, Run: 074, P, 0, 0, 0, 0, 44, 44, 0, 0, 1, 72, 0
INVAR-2, Run: 075, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 076, P, 0, 0, 0, 0, 44, 44, 0, 0, 1, 72, 0
INVAR-2, Run: 077, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 078, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 079, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 080, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
INVAR-2, Run: 081, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 082, P, 0, 0, 0, 0, 44, 44, 0, 0, 1, 72, 0
INVAR-2, Run: 083, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 084, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 085, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 086, P, 0, 1, 0, 0, 41, 41, 0, 0, 1, 88, 1
INVAR-2, Run: 087, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 088, P, 0, 1, 0, 0, 43, 43, 0, 0, 1, 76, 1
INVAR-2, Run: 089, P, 0, 0, 0, 0, 40, 40, 0, 0, 1, 96, 0
INVAR-2, Run: 090, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 091, P, 0, 0, 0, 0, 41, 41, 0, 0, 1, 90, 0
INVAR-2, Run: 092, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 093, P, 0, 1, 0, 0, 45, 45, 0, 0, 1, 64, 1
INVAR-2, Run: 094, P, 0, 1, 0, 0, 46, 46, 0, 0, 1, 58, 1
INVAR-2, Run: 095, P, 0, 1, 0, 0, 40, 40, 0, 0, 1, 94, 1
INVAR-2, Run: 096, P, 0, 1, 0, 0, 42, 42, 0, 0, 1, 82, 1
INVAR-2, Run: 097, P, 0, 0, 0, 0, 42, 42, 0, 0, 1, 84, 0
