Input Number, Run_Number, Result@ 100, X1, X2, U
1, Run: 001, F, 0, 72, 0
1, Run: 002, F, 0, 112, 0
1, Run: 003, F, 0, 75, 0
1, Run: 004, F, 0, 67, 0
1, Run: 005, F, 0, 67, 0
1, Run: 006, F, 0, 77, 0
1, Run: 007, F, 0, 79, 0
1, Run: 008, F, 0, 119, 0
1, Run: 009, F, 0, 96, 0
1, Run: 010, F, 0, 78, 0
1, Run: 011, F, 0, 79, 0
1, Run: 012, F, 0, 81, 0
1, Run: 013, F, 0, 80, 0
1, Run: 014, F, 0, 70, 0
1, Run: 015, F, 0, 73, 0
1, Run: 016, F, 0, 68, 0
1, Run: 017, F, 69, 0, 0
1, Run: 018, F, 0, 103, 0
1, Run: 019, F, 0, 68, 0
1, Run: 020, F, 49, 0, 0
1, Run: 021, F, 0, 77, 0
1, Run: 022, F, 0, 83, 0
1, Run: 023, F, 0, 81, 0
1, Run: 024, F, 0, 91, 0
1, Run: 025, F, 0, 83, 0
1, Run: 026, F, 0, 73, 0
1, Run: 027, F, 0, 80, 0
1, Run: 028, F, 0, 77, 0
1, Run: 029, F, 0, 66, 0
1, Run: 030, F, 128, 0, 0
1, Run: 031, F, 0, 71, 0
1, Run: 032, F, 0, 68, 0
1, Run: 033, F, 0, 71, 0
1, Run: 034, F, 0, 111, 0
1, Run: 035, F, 0, 148, 0
1, Run: 036, F, 0, 70, 0
1, Run: 037, F, 0, 67, 0
1, Run: 038, F, 0, 79, 0
1, Run: 039, F, 0, 80, 0
1, Run: 040, F, 0, 94, 0
1, Run: 041, F, 0, 114, 0
1, Run: 042, F, 0, 75, 0
1, Run: 043, F, 0, 140, 0
1, Run: 044, F, 0, 101, 0
1, Run: 045, F, 0, 70, 0
1, Run: 046, F, 0, 72, 0
1, Run: 047, F, 0, 90, 0
1, Run: 048, F, 0, 136, 0
1, Run: 049, F, 0, 81, 0
1, Run: 050, F, 0, 77, 0
1, Run: 051, F, 0, 86, 0
1, Run: 052, F, 0, 87, 0
1, Run: 053, F, 0, 100, 0
1, Run: 054, F, 0, 85, 0
1, Run: 055, F, 0, 69, 0
1, Run: 056, F, 0, 71, 0
1, Run: 057, F, 0, 77, 0
1, Run: 058, F, 0, 117, 0
1, Run: 059, F, 0, 87, 0
1, Run: 060, F, 0, 117, 0
1, Run: 061, F, 0, 72, 0
1, Run: 062, F, 0, 76, 0
1, Run: 063, F, 0, 69, 0
1, Run: 064, F, 0, 75, 0
1, Run: 065, F, 0, 135, 0
1, Run: 066, F, 0, 108, 0
1, Run: 067, F, 0, 84, 0
1, Run: 068, F, 0, 119, 0
1, Run: 069, F, 0, 83, 0
1, Run: 070, F, 0, 76, 0
1, Run: 071, F, 0, 102, 0
1, Run: 072, F, 0, 87, 0
1, Run: 073, F, 0, 89, 0
1, Run: 074, F, 0, 95, 0
1, Run: 075, F, 0, 78, 0
1, Run: 076, F, 0, 78, 0
1, Run: 077, F, 0, 74, 0
1, Run: 078, F, 0, 82, 0
1, Run: 079, F, 0, 85, 0
1, Run: 080, F, 0, 76, 0
1, Run: 081, F, 0, 88, 0
1, Run: 082, F, 0, 79, 0
1, Run: 083, F, 0, 74, 0
1, Run: 084, F, 0, 119, 0
1, Run: 085, F, 0, 83, 0
1, Run: 086, F, 0, 73, 0
1, Run: 087, F, 0, 72, 0
1, Run: 088, F, 0, 71, 0
1, Run: 089, F, 0, 83, 0
1, Run: 090, F, 0, 75, 0
1, Run: 091, F, 0, 109, 0
1, Run: 092, F, 0, 74, 0
1, Run: 093, F, 0, 76, 0
1, Run: 094, F, 0, 84, 0
1, Run: 095, F, 0, 215, 0
1, Run: 096, F, 0, 76, 0
1, Run: 097, F, 0, 76, 0
1, Run: 098, F, 0, 78, 0
1, Run: 099, F, 0, 80, 0
1, Run: 100, F, 0, 76, 0
10, Run: 001, F, 0, 31, 0
10, Run: 002, F, 0, 20, 0
10, Run: 003, F, 0, 23, 0
10, Run: 004, F, 0, 30, 0
10, Run: 005, F, 13, 0, 0
10, Run: 006, F, 0, 22, 0
10, Run: 007, F, 0, 23, 0
10, Run: 008, F, 0, 20, 0
10, Run: 009, F, 0, 19, 0
10, Run: 010, F, 0, 23, 0
10, Run: 011, F, 0, 33, 0
10, Run: 012, F, 0, 21, 0
10, Run: 013, F, 0, 23, 0
10, Run: 014, F, 0, 21, 0
10, Run: 015, F, 0, 28, 0
10, Run: 016, F, 0, 25, 0
10, Run: 017, F, 0, 39, 0
10, Run: 018, F, 0, 32, 0
10, Run: 019, F, 0, 21, 0
10, Run: 020, F, 0, 20, 0
