Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P, A1*, F1*, F1P*, A2*, F2*, F2P*
1, Run: 001, F, 19, 0, 0, 33, 0, 0
1, Run: 002, F, 19, 0, 0, 33, 0, 0
1, Run: 003, F, 19, 0, 0, 33, 0, 0
1, Run: 004, F, 20, 0, 0, 33, 0, 0
1, Run: 005, F, 19, 0, 0, 33, 0, 0
1, Run: 006, F, 19, 0, 0, 33, 0, 0
1, Run: 007, F, 19, 0, 0, 33, 0, 0
1, Run: 008, F, 19, 0, 0, 33, 0, 0
1, Run: 009, F, 19, 0, 0, 34, 0, 0
1, Run: 010, F, 20, 0, 0, 35, 0, 0
1, Run: 011, F, 19, 0, 0, 33, 0, 0
1, Run: 012, F, 20, 0, 0, 33, 0, 0
1, Run: 013, F, 19, 0, 0, 33, 0, 0
1, Run: 014, F, 20, 0, 0, 33, 0, 0
1, Run: 015, F, 19, 0, 0, 33, 0, 0
1, Run: 016, F, 19, 0, 0, 33, 0, 0
1, Run: 017, F, 20, 0, 0, 33, 0, 0
1, Run: 018, F, 19, 0, 0, 33, 0, 0
1, Run: 019, F, 19, 0, 0, 33, 0, 0
1, Run: 020, F, 19, 0, 0, 33, 0, 0
1, Run: 021, F, 19, 0, 0, 33, 0, 0
1, Run: 022, F, 20, 0, 0, 34, 0, 0
1, Run: 023, F, 20, 0, 0, 33, 0, 0
1, Run: 024, F, 19, 0, 0, 33, 0, 0
1, Run: 025, F, 19, 0, 0, 33, 0, 0
1, Run: 026, F, 19, 0, 0, 33, 0, 0
1, Run: 027, F, 20, 0, 0, 35, 0, 0
1, Run: 028, F, 20, 0, 0, 33, 0, 0
1, Run: 029, F, 20, 0, 0, 33, 0, 0
1, Run: 030, F, 19, 0, 0, 33, 0, 0
1, Run: 031, F, 20, 0, 0, 34, 0, 0
1, Run: 032, F, 19, 0, 0, 33, 0, 0
1, Run: 033, F, 20, 0, 0, 33, 0, 0
1, Run: 034, F, 19, 0, 0, 34, 0, 0
1, Run: 035, F, 19, 0, 0, 33, 0, 0
1, Run: 036, F, 19, 0, 0, 33, 0, 0
1, Run: 037, F, 19, 0, 0, 33, 0, 0
1, Run: 038, F, 20, 0, 0, 33, 0, 0
1, Run: 039, F, 19, 0, 0, 34, 0, 0
1, Run: 040, F, 19, 0, 0, 33, 0, 0
1, Run: 041, F, 19, 0, 0, 33, 0, 0
1, Run: 042, F, 20, 0, 0, 33, 0, 0
1, Run: 043, F, 19, 0, 0, 34, 0, 0
1, Run: 044, F, 20, 0, 0, 34, 0, 0
1, Run: 045, F, 19, 0, 0, 34, 0, 0
1, Run: 046, F, 19, 0, 0, 33, 0, 0
1, Run: 047, F, 19, 0, 0, 34, 0, 0
1, Run: 048, F, 19, 0, 0, 34, 0, 0
1, Run: 049, F, 20, 0, 0, 33, 0, 0
1, Run: 050, F, 20, 0, 0, 33, 0, 0
1, Run: 051, F, 19, 0, 0, 33, 0, 0
1, Run: 052, F, 19, 0, 0, 33, 0, 0
1, Run: 053, F, 19, 0, 0, 33, 0, 0
1, Run: 054, F, 19, 0, 0, 34, 0, 0
1, Run: 055, F, 19, 0, 0, 33, 0, 0
1, Run: 056, F, 19, 0, 0, 33, 0, 0
1, Run: 057, F, 20, 0, 0, 34, 0, 0
1, Run: 058, F, 19, 0, 0, 33, 0, 0
1, Run: 059, F, 20, 0, 0, 33, 0, 0
1, Run: 060, F, 20, 0, 0, 33, 0, 0
1, Run: 061, F, 20, 0, 0, 34, 0, 0
1, Run: 062, F, 20, 0, 0, 33, 0, 0
1, Run: 063, F, 19, 0, 0, 33, 0, 0
1, Run: 064, F, 21, 0, 0, 33, 0, 0
1, Run: 065, F, 19, 0, 0, 33, 0, 0
1, Run: 066, F, 20, 0, 0, 33, 0, 0
1, Run: 067, F, 19, 0, 0, 33, 0, 0
1, Run: 068, F, 20, 0, 0, 34, 0, 0
1, Run: 069, F, 19, 0, 0, 33, 0, 0
1, Run: 070, F, 19, 0, 0, 33, 0, 0
1, Run: 071, F, 22, 0, 0, 35, 0, 0
1, Run: 072, F, 19, 0, 0, 33, 0, 0
1, Run: 073, F, 20, 0, 0, 34, 0, 0
1, Run: 074, F, 19, 0, 0, 33, 0, 0
1, Run: 075, F, 19, 0, 0, 33, 0, 0
1, Run: 076, F, 19, 0, 0, 33, 0, 0
1, Run: 077, F, 19, 0, 0, 33, 0, 0
1, Run: 078, F, 19, 0, 0, 33, 0, 0
1, Run: 079, F, 19, 0, 0, 33, 0, 0
1, Run: 080, F, 20, 0, 0, 33, 0, 0
1, Run: 081, F, 19, 0, 0, 33, 0, 0
1, Run: 082, F, 20, 0, 0, 33, 0, 0
1, Run: 083, F, 19, 0, 0, 33, 0, 0
1, Run: 084, F, 20, 0, 0, 35, 0, 0
1, Run: 085, F, 19, 0, 0, 33, 0, 0
1, Run: 086, F, 19, 0, 0, 33, 0, 0
1, Run: 087, F, 19, 0, 0, 33, 0, 0
1, Run: 088, F, 20, 0, 0, 33, 0, 0
1, Run: 089, F, 20, 0, 0, 33, 0, 0
1, Run: 090, F, 20, 0, 0, 33, 0, 0
1, Run: 091, F, 19, 0, 0, 34, 0, 0
1, Run: 092, F, 19, 0, 0, 34, 0, 0
1, Run: 093, F, 20, 0, 0, 33, 0, 0
1, Run: 094, F, 19, 0, 0, 33, 0, 0
1, Run: 095, F, 20, 0, 0, 34, 0, 0
1, Run: 096, F, 20, 0, 0, 33, 0, 0
1, Run: 097, F, 19, 0, 0, 34, 0, 0
1, Run: 098, F, 19, 0, 0, 34, 0, 0
1, Run: 099, F, 19, 0, 0, 33, 0, 0
1, Run: 100, F, 19, 0, 0, 33, 0, 0
10, Run: 001, F, 3, 0, 0, 13, 0, 0
10, Run: 002, F, 1, 0, 0, 13, 0, 0
10, Run: 003, F, 1, 0, 0, 13, 0, 0
10, Run: 004, F, 1, 0, 0, 14, 0, 0
10, Run: 005, F, 0, 0, 0, 14, 0, 0
10, Run: 006, F, 2, 0, 0, 13, 0, 0
10, Run: 007, F, 0, 0, 0, 15, 0, 0
10, Run: 008, F, 1, 0, 0, 13, 0, 0
10, Run: 009, F, 1, 0, 0, 13, 0, 0
10, Run: 010, F, 1, 0, 0, 14, 0, 0
10, Run: 011, F, 1, 0, 0, 13, 0, 0
10, Run: 012, F, 2, 0, 0, 14, 0, 0
10, Run: 013, F, 2, 0, 0, 16, 0, 0
10, Run: 014, F, 2, 0, 0, 13, 0, 0
10, Run: 015, F, 0, 0, 0, 14, 0, 0
10, Run: 016, F, 3, 0, 0, 14, 0, 0
10, Run: 017, F, 0, 0, 0, 13, 0, 0
10, Run: 018, F, 0, 0, 0, 13, 0, 0
10, Run: 019, F, 2, 0, 0, 13, 0, 0
10, Run: 020, F, 0, 0, 0, 14, 0, 0
10, Run: 021, F, 0, 0, 0, 13, 0, 0
10, Run: 022, F, 3, 0, 0, 15, 0, 0
10, Run: 023, F, 1, 0, 0, 14, 0, 0
10, Run: 024, F, 2, 0, 0, 13, 0, 0
10, Run: 025, F, 2, 0, 0, 13, 0, 0
10, Run: 026, F, 1, 0, 0, 13, 0, 0
10, Run: 027, F, 1, 0, 0, 13, 0, 0
10, Run: 028, F, 2, 0, 0, 13, 0, 0
10, Run: 029, F, 0, 0, 0, 14, 0, 0
10, Run: 030, F, 2, 0, 0, 13, 0, 0
10, Run: 031, F, 4, 0, 0, 14, 0, 0
10, Run: 032, F, 1, 0, 0, 13, 0, 0
10, Run: 033, F, 2, 0, 0, 14, 0, 0
10, Run: 034, F, 1, 0, 0, 14, 0, 0
10, Run: 035, F, 2, 0, 0, 13, 0, 0
10, Run: 036, F, 1, 0, 0, 13, 0, 0
10, Run: 037, F, 0, 0, 0, 13, 0, 0
10, Run: 038, F, 1, 0, 0, 13, 0, 0
10, Run: 039, F, 1, 0, 0, 14, 0, 0
10, Run: 040, F, 1, 0, 0, 15, 0, 0
10, Run: 041, F, 2, 0, 0, 13, 0, 0
10, Run: 042, F, 0, 0, 0, 13, 0, 0
10, Run: 043, F, 1, 0, 0, 13, 0, 0
10, Run: 044, F, 4, 0, 0, 13, 0, 0
10, Run: 045, F, 1, 0, 0, 14, 0, 0
10, Run: 046, F, 2, 0, 0, 13, 0, 0
10, Run: 047, F, 2, 0, 0, 13, 0, 0
10, Run: 048, F, 2, 0, 0, 13, 0, 0
10, Run: 049, F, 3, 0, 0, 13, 0, 0
10, Run: 050, F, 1, 0, 0, 13, 0, 0
10, Run: 051, F, 0, 0, 0, 13, 0, 0
10, Run: 052, F, 1, 0, 0, 15, 0, 0
10, Run: 053, F, 2, 0, 0, 13, 0, 0
10, Run: 054, F, 1, 0, 0, 13, 0, 0
10, Run: 055, F, 0, 0, 0, 15, 0, 0
10, Run: 056, F, 0, 0, 0, 14, 0, 0
10, Run: 057, F, 1, 0, 0, 15, 0, 0
10, Run: 058, F, 1, 0, 0, 13, 0, 0
10, Run: 059, F, 1, 0, 0, 15, 0, 0
10, Run: 060, F, 1, 0, 0, 15, 0, 0
10, Run: 061, F, 0, 0, 0, 14, 0, 0
10, Run: 062, F, 1, 0, 0, 13, 0, 0
10, Run: 063, F, 1, 0, 0, 15, 0, 0
10, Run: 064, F, 2, 0, 0, 13, 0, 0
10, Run: 065, F, 3, 0, 0, 13, 0, 0
10, Run: 066, F, 1, 0, 0, 13, 0, 0
10, Run: 067, F, 1, 0, 0, 14, 0, 0
10, Run: 068, F, 1, 0, 0, 14, 0, 0
10, Run: 069, F, 0, 0, 0, 13, 0, 0
10, Run: 070, F, 1, 0, 0, 13, 0, 0
10, Run: 071, F, 2, 0, 0, 14, 0, 0
10, Run: 072, F, 1, 0, 0, 13, 0, 0
10, Run: 073, F, 1, 0, 0, 13, 0, 0
10, Run: 074, F, 3, 0, 0, 13, 0, 0
10, Run: 075, F, 1, 0, 0, 13, 0, 0
10, Run: 076, F, 2, 0, 0, 13, 0, 0
10, Run: 077, F, 0, 0, 0, 13, 0, 0
10, Run: 078, F, 2, 0, 0, 15, 0, 0
10, Run: 079, F, 0, 0, 0, 13, 0, 0
10, Run: 080, F, 2, 0, 0, 14, 0, 0
10, Run: 081, F, 0, 0, 0, 13, 0, 0
10, Run: 082, F, 2, 0, 0, 14, 0, 0
10, Run: 083, F, 1, 0, 0, 13, 0, 0
10, Run: 084, F, 3, 0, 0, 13, 0, 0
10, Run: 085, F, 1, 0, 0, 13, 0, 0
10, Run: 086, F, 1, 0, 0, 13, 0, 0
10, Run: 087, F, 0, 0, 0, 13, 0, 0
10, Run: 088, F, 1, 0, 0, 14, 0, 0
10, Run: 089, F, 2, 0, 0, 13, 0, 0
10, Run: 090, F, 0, 0, 0, 13, 0, 0
10, Run: 091, F, 1, 0, 0, 13, 0, 0
10, Run: 092, F, 1, 0, 0, 14, 0, 0
10, Run: 093, F, 2, 0, 0, 14, 0, 0
10, Run: 094, F, 2, 0, 0, 13, 0, 0
10, Run: 095, F, 1, 0, 0, 13, 0, 0
10, Run: 096, F, 0, 0, 0, 14, 0, 0
10, Run: 097, F, 1, 0, 0, 13, 0, 0
10, Run: 098, F, 2, 0, 0, 13, 0, 0
10, Run: 099, F, 0, 0, 0, 14, 0, 0
10, Run: 100, F, 0, 0, 0, 13, 0, 0
11, Run: 001, F, 89, 0, 0, 81, 0, 0
11, Run: 002, F, 88, 0, 0, 81, 0, 0
11, Run: 003, F, 88, 0, 0, 81, 0, 0
11, Run: 004, F, 88, 0, 0, 81, 0, 0
11, Run: 005, F, 88, 0, 0, 81, 0, 0
11, Run: 006, F, 88, 0, 0, 82, 0, 0
11, Run: 007, F, 88, 0, 0, 81, 0, 0
11, Run: 008, F, 88, 0, 0, 81, 0, 0
11, Run: 009, F, 88, 0, 0, 81, 0, 0
11, Run: 010, F, 89, 0, 0, 81, 0, 0
11, Run: 011, F, 88, 0, 0, 81, 0, 0
11, Run: 012, F, 89, 0, 0, 81, 0, 0
11, Run: 013, F, 88, 0, 0, 81, 0, 0
11, Run: 014, F, 88, 0, 0, 81, 0, 0
11, Run: 015, F, 88, 0, 0, 82, 0, 0
11, Run: 016, F, 88, 0, 0, 81, 0, 0
11, Run: 017, F, 88, 0, 0, 81, 0, 0
11, Run: 018, F, 88, 0, 0, 82, 0, 0
11, Run: 019, F, 88, 0, 0, 82, 0, 0
11, Run: 020, F, 88, 0, 0, 81, 0, 0
11, Run: 021, F, 89, 0, 0, 81, 0, 0
11, Run: 022, F, 88, 0, 0, 81, 0, 0
11, Run: 023, F, 88, 0, 0, 81, 0, 0
11, Run: 024, F, 88, 0, 0, 82, 0, 0
11, Run: 025, F, 88, 0, 0, 81, 0, 0
11, Run: 026, F, 88, 0, 0, 81, 0, 0
11, Run: 027, F, 88, 0, 0, 81, 0, 0
11, Run: 028, F, 88, 0, 0, 81, 0, 0
11, Run: 029, F, 88, 0, 0, 81, 0, 0
11, Run: 030, F, 88, 0, 0, 81, 0, 0
11, Run: 031, F, 88, 0, 0, 81, 0, 0
11, Run: 032, F, 88, 0, 0, 81, 0, 0
11, Run: 033, F, 88, 0, 0, 81, 0, 0
11, Run: 034, F, 88, 0, 0, 81, 0, 0
11, Run: 035, F, 88, 0, 0, 81, 0, 0
11, Run: 036, F, 88, 0, 0, 81, 0, 0
11, Run: 037, F, 88, 0, 0, 81, 0, 0
11, Run: 038, F, 88, 0, 0, 81, 0, 0
11, Run: 039, F, 88, 0, 0, 81, 0, 0
11, Run: 040, F, 88, 0, 0, 81, 0, 0
11, Run: 041, F, 90, 0, 0, 81, 0, 0
11, Run: 042, F, 88, 0, 0, 81, 0, 0
11, Run: 043, F, 88, 0, 0, 81, 0, 0
11, Run: 044, F, 88, 0, 0, 81, 0, 0
11, Run: 045, F, 88, 0, 0, 81, 0, 0
11, Run: 046, F, 88, 0, 0, 81, 0, 0
11, Run: 047, F, 88, 0, 0, 81, 0, 0
11, Run: 048, F, 88, 0, 0, 81, 0, 0
11, Run: 049, F, 88, 0, 0, 81, 0, 0
11, Run: 050, F, 88, 0, 0, 81, 0, 0
11, Run: 051, F, 88, 0, 0, 81, 0, 0
11, Run: 052, F, 88, 0, 0, 81, 0, 0
11, Run: 053, F, 88, 0, 0, 81, 0, 0
11, Run: 054, F, 88, 0, 0, 81, 0, 0
11, Run: 055, F, 88, 0, 0, 81, 0, 0
11, Run: 056, F, 89, 0, 0, 81, 0, 0
11, Run: 057, F, 88, 0, 0, 81, 0, 0
11, Run: 058, F, 88, 0, 0, 82, 0, 0
11, Run: 059, F, 88, 0, 0, 81, 0, 0
11, Run: 060, F, 88, 0, 0, 81, 0, 0
11, Run: 061, F, 88, 0, 0, 81, 0, 0
11, Run: 062, F, 88, 0, 0, 81, 0, 0
11, Run: 063, F, 88, 0, 0, 82, 0, 0
11, Run: 064, F, 88, 0, 0, 81, 0, 0
11, Run: 065, F, 88, 0, 0, 81, 0, 0
11, Run: 066, F, 88, 0, 0, 81, 0, 0
11, Run: 067, F, 88, 0, 0, 81, 0, 0
11, Run: 068, F, 88, 0, 0, 81, 0, 0
11, Run: 069, F, 88, 0, 0, 81, 0, 0
11, Run: 070, F, 88, 0, 0, 81, 0, 0
11, Run: 071, F, 88, 0, 0, 81, 0, 0
11, Run: 072, F, 88, 0, 0, 81, 0, 0
11, Run: 073, F, 88, 0, 0, 81, 0, 0
11, Run: 074, F, 88, 0, 0, 81, 0, 0
11, Run: 075, F, 88, 0, 0, 81, 0, 0
11, Run: 076, F, 88, 0, 0, 81, 0, 0
11, Run: 077, F, 88, 0, 0, 82, 0, 0
11, Run: 078, F, 88, 0, 0, 81, 0, 0
11, Run: 079, F, 88, 0, 0, 81, 0, 0
11, Run: 080, F, 88, 0, 0, 81, 0, 0
11, Run: 081, F, 88, 0, 0, 81, 0, 0
11, Run: 082, F, 88, 0, 0, 81, 0, 0
11, Run: 083, F, 88, 0, 0, 81, 0, 0
11, Run: 084, F, 89, 0, 0, 82, 0, 0
11, Run: 085, F, 88, 0, 0, 81, 0, 0
11, Run: 086, F, 88, 0, 0, 81, 0, 0
11, Run: 087, F, 88, 0, 0, 81, 0, 0
11, Run: 088, F, 88, 0, 0, 82, 0, 0
11, Run: 089, F, 88, 0, 0, 81, 0, 0
11, Run: 090, F, 88, 0, 0, 81, 0, 0
11, Run: 091, F, 88, 0, 0, 82, 0, 0
11, Run: 092, F, 88, 0, 0, 82, 0, 0
11, Run: 093, F, 88, 0, 0, 81, 0, 0
11, Run: 094, F, 88, 0, 0, 81, 0, 0
11, Run: 095, F, 88, 0, 0, 81, 0, 0
11, Run: 096, F, 88, 0, 0, 81, 0, 0
11, Run: 097, F, 88, 0, 0, 81, 0, 0
11, Run: 098, F, 88, 0, 0, 81, 0, 0
11, Run: 099, F, 88, 0, 0, 82, 0, 0
11, Run: 100, F, 88, 0, 0, 81, 0, 0
12, Run: 001, F, 168, 0, 0, 157, 0, 0
12, Run: 002, F, 168, 0, 0, 157, 0, 0
12, Run: 003, F, 168, 0, 0, 157, 0, 0
12, Run: 004, F, 168, 0, 0, 157, 0, 0
12, Run: 005, F, 168, 0, 0, 157, 0, 0
12, Run: 006, F, 169, 0, 0, 157, 0, 0
12, Run: 007, F, 168, 0, 0, 158, 0, 0
12, Run: 008, F, 168, 0, 0, 157, 0, 0
12, Run: 009, F, 168, 0, 0, 157, 0, 0
12, Run: 010, F, 168, 0, 0, 157, 0, 0
12, Run: 011, F, 168, 0, 0, 157, 0, 0
12, Run: 012, F, 168, 0, 0, 157, 0, 0
12, Run: 013, F, 168, 0, 0, 157, 0, 0
12, Run: 014, F, 168, 0, 0, 157, 0, 0
12, Run: 015, F, 168, 0, 0, 157, 0, 0
12, Run: 016, F, 168, 0, 0, 157, 0, 0
12, Run: 017, F, 168, 0, 0, 157, 0, 0
