Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, A*, F*, X1*, B*, C*, PO*, D*, CO*, Y*, PE*, CE*, E*
4, Run: 001, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 002, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 003, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 004, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 005, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 006, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 007, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 008, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 009, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 010, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 011, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 012, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 013, P, 1, 0, 0, 0, 0, 1, 0, 104, 104, 0, 0, 6
4, Run: 014, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 015, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 016, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 017, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 018, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 019, P, 1, 1, 0, 0, 0, 1, 0, 104, 104, 0, 0, 5
4, Run: 020, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 021, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 022, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 023, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 024, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 025, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 026, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 027, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 028, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 029, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 030, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 031, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 032, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 033, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 034, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 035, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 036, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 037, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 038, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 039, P, 1, 0, 0, 0, 0, 1, 0, 104, 104, 0, 0, 6
4, Run: 040, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 041, P, 1, 0, 0, 0, 0, 1, 0, 104, 104, 0, 0, 6
4, Run: 042, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 043, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 044, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 045, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 046, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 047, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 048, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 049, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 050, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 051, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 052, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 053, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 054, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 055, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 056, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 057, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 058, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 059, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 060, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 061, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 062, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 063, P, 1, 0, 0, 0, 0, 1, 0, 112, 112, 0, 0, 14
4, Run: 064, P, 1, 0, 0, 0, 0, 1, 0, 112, 112, 0, 0, 14
4, Run: 065, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 066, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 067, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 068, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 069, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 070, P, 1, 0, 0, 0, 0, 1, 0, 104, 104, 0, 0, 6
4, Run: 071, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 072, P, 1, 1, 0, 0, 0, 1, 0, 104, 104, 0, 0, 5
4, Run: 073, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 074, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 075, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 076, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 077, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 078, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 079, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 080, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 081, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 082, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 083, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 084, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 085, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 086, P, 1, 1, 0, 0, 0, 1, 0, 110, 110, 0, 0, 11
4, Run: 087, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 088, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 089, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 090, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 091, P, 1, 0, 0, 0, 0, 1, 0, 110, 110, 0, 0, 12
4, Run: 092, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 093, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 094, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 095, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 096, P, 1, 0, 0, 0, 0, 1, 0, 106, 106, 0, 0, 8
4, Run: 097, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
4, Run: 098, P, 1, 1, 0, 0, 0, 1, 0, 108, 108, 0, 0, 9
4, Run: 099, P, 1, 1, 0, 0, 0, 1, 0, 106, 106, 0, 0, 7
4, Run: 100, P, 1, 0, 0, 0, 0, 1, 0, 108, 108, 0, 0, 10
5, Run: 001, P, 1, 1, 0, 0, 0, 1, 0, 144, 144, 0, 0, 10
5, Run: 002, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 003, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 004, P, 1, 1, 0, 0, 0, 1, 0, 144, 144, 0, 0, 10
5, Run: 005, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 006, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 007, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 008, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 009, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 010, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 011, P, 1, 0, 0, 0, 0, 1, 0, 150, 150, 0, 0, 17
5, Run: 012, P, 1, 1, 0, 1, 0, 1, 0, 145, 145, 0, 0, 11
5, Run: 013, P, 1, 1, 0, 0, 0, 1, 0, 144, 144, 0, 0, 10
5, Run: 014, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 015, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 016, P, 1, 0, 0, 0, 0, 1, 0, 142, 142, 0, 0, 9
5, Run: 017, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 018, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 019, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 020, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 021, P, 1, 0, 0, 0, 0, 1, 0, 142, 142, 0, 0, 9
5, Run: 022, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 023, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 024, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 025, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 026, P, 1, 0, 0, 0, 0, 1, 0, 150, 150, 0, 0, 17
5, Run: 027, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 028, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 029, P, 1, 1, 0, 0, 0, 1, 0, 142, 142, 0, 0, 8
5, Run: 030, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 031, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 032, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 033, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 034, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 035, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 036, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 037, P, 1, 1, 0, 0, 0, 1, 0, 150, 150, 0, 0, 16
5, Run: 038, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 039, P, 1, 0, 0, 0, 0, 1, 0, 142, 142, 0, 0, 9
5, Run: 040, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 041, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 042, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 043, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 044, P, 1, 0, 0, 0, 0, 1, 0, 142, 142, 0, 0, 9
5, Run: 045, P, 1, 1, 0, 0, 0, 1, 0, 156, 156, 0, 0, 22
5, Run: 046, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 047, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 048, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 049, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 050, P, 1, 0, 0, 0, 0, 1, 0, 152, 152, 0, 0, 19
5, Run: 051, P, 1, 1, 0, 0, 0, 1, 0, 150, 150, 0, 0, 16
5, Run: 052, P, 1, 0, 0, 0, 0, 1, 0, 150, 150, 0, 0, 17
5, Run: 053, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 054, P, 1, 1, 0, 0, 0, 1, 0, 150, 150, 0, 0, 16
5, Run: 055, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 056, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 057, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 058, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 059, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 060, P, 1, 1, 0, 0, 0, 1, 0, 148, 148, 0, 0, 14
5, Run: 061, P, 1, 1, 0, 0, 0, 1, 0, 142, 142, 0, 0, 8
5, Run: 062, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 063, P, 1, 1, 0, 0, 0, 1, 0, 150, 150, 0, 0, 16
5, Run: 064, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 065, P, 1, 0, 0, 0, 0, 1, 0, 152, 152, 0, 0, 19
5, Run: 066, P, 1, 1, 0, 0, 0, 1, 0, 146, 146, 0, 0, 12
5, Run: 067, P, 1, 0, 0, 0, 0, 1, 0, 146, 146, 0, 0, 13
5, Run: 068, P, 1, 0, 0, 0, 0, 1, 0, 150, 150, 0, 0, 17
5, Run: 069, P, 1, 1, 0, 0, 0, 1, 0, 144, 144, 0, 0, 10
5, Run: 070, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 071, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 072, P, 1, 0, 0, 0, 0, 1, 0, 144, 144, 0, 0, 11
5, Run: 073, P, 1, 0, 0, 0, 0, 1, 0, 150, 150, 0, 0, 17
5, Run: 074, P, 1, 0, 0, 0, 0, 1, 0, 148, 148, 0, 0, 15
5, Run: 075, P, 1, 0, 0, 0, 0, 1, 0, 142, 142, 0, 0, 9
