Input Number, Run_Number, Result@ 100, X1, X2, Y, X1*, X2*, Y*
In01, Run: 001, P, 0, 0, 42
In02, Run: 090, F, 0, 0, 82
In02, Run: 091, F, 0, 0, 86
In02, Run: 092, P, 0, 0, 76
In02, Run: 093, P, 0, 0, 78
In02, Run: 094, P, 0, 0, 78
In02, Run: 095, P, 0, 0, 78
In02, Run: 096, P, 0, 0, 80
In02, Run: 097, F, 0, 0, 84
In02, Run: 098, P, 0, 0, 80
In02, Run: 099, P, 0, 0, 80
In02, Run: 100, P, 0, 0, 82
In03, Run: 001, P, 0, 0, 132
In03, Run: 002, P, 0, 0, 152
In03, Run: 003, P, 0, 0, 140
In03, Run: 004, P, 0, 0, 142
In03, Run: 005, F, 0, 0, 148
In03, Run: 006, P, 0, 0, 126
In03, Run: 007, P, 0, 0, 140
In03, Run: 008, P, 0, 0, 138
In03, Run: 009, P, 0, 0, 130
In03, Run: 010, P, 0, 0, 134
In03, Run: 011, P, 0, 0, 136
In03, Run: 012, P, 0, 0, 140
In03, Run: 013, P, 0, 0, 138
In03, Run: 014, P, 0, 0, 140
In03, Run: 015, P, 0, 0, 142
In03, Run: 016, P, 0, 0, 134
In03, Run: 017, F, 0, 0, 142
In03, Run: 018, F, 0, 0, 146
In03, Run: 019, F, 0, 0, 136
In03, Run: 020, F, 0, 0, 136
In03, Run: 021, P, 0, 0, 134
In03, Run: 022, P, 0, 0, 142
In03, Run: 023, F, 0, 0, 146
In03, Run: 024, P, 0, 0, 134
In03, Run: 025, P, 0, 0, 142
In03, Run: 026, F, 0, 0, 144
In03, Run: 027, F, 0, 0, 142
In03, Run: 028, P, 0, 0, 134
In03, Run: 029, P, 0, 0, 130
In03, Run: 030, P, 0, 0, 144
In03, Run: 031, P, 0, 0, 142
In03, Run: 032, P, 0, 0, 146
In03, Run: 033, P, 0, 0, 148
In03, Run: 034, F, 0, 0, 150
In03, Run: 035, P, 0, 0, 142
In03, Run: 036, P, 0, 0, 140
In03, Run: 037, P, 0, 0, 134
In03, Run: 038, F, 0, 0, 136
In03, Run: 039, P, 0, 0, 134
In03, Run: 040, P, 0, 0, 140
In03, Run: 041, P, 0, 0, 132
In03, Run: 042, P, 0, 0, 136
In03, Run: 043, P, 0, 0, 132
In03, Run: 044, P, 0, 0, 134
In03, Run: 045, F, 0, 0, 142
In03, Run: 046, F, 0, 0, 142
In03, Run: 047, P, 0, 0, 132
In03, Run: 048, P, 0, 0, 134
In03, Run: 049, P, 0, 0, 140
In03, Run: 050, P, 0, 0, 128
In03, Run: 051, F, 0, 0, 136
In03, Run: 052, P, 0, 0, 140
In03, Run: 053, P, 0, 0, 140
In03, Run: 054, P, 0, 0, 134
In03, Run: 055, P, 0, 0, 132
In03, Run: 056, P, 0, 0, 140
In03, Run: 057, P, 0, 0, 144
In03, Run: 058, F, 0, 0, 140
In03, Run: 059, P, 0, 0, 140
In03, Run: 060, P, 0, 0, 128
In03, Run: 061, P, 0, 0, 136
In03, Run: 062, P, 0, 0, 140
In03, Run: 063, P, 0, 0, 142
In03, Run: 064, F, 0, 0, 144
In03, Run: 065, P, 0, 0, 138
In03, Run: 066, F, 0, 0, 142
In03, Run: 067, P, 0, 0, 132
In03, Run: 068, F, 0, 0, 150
In03, Run: 069, P, 0, 0, 126
In03, Run: 070, P, 0, 0, 140
In03, Run: 071, F, 0, 0, 148
In03, Run: 072, P, 0, 0, 136
In03, Run: 073, P, 0, 0, 142
In03, Run: 074, P, 0, 0, 140
In03, Run: 075, P, 0, 0, 136
In03, Run: 076, F, 0, 0, 142
In03, Run: 077, P, 0, 0, 142
In03, Run: 078, P, 0, 0, 142
In03, Run: 079, F, 0, 0, 142
In03, Run: 080, P, 0, 0, 142
In03, Run: 081, P, 0, 0, 144
In03, Run: 082, F, 0, 0, 144
In03, Run: 083, P, 0, 0, 136
In03, Run: 084, P, 0, 0, 126
In03, Run: 085, F, 0, 0, 154
In03, Run: 086, P, 0, 0, 138
In03, Run: 087, P, 0, 0, 140
In03, Run: 088, F, 0, 0, 144
In03, Run: 089, P, 0, 0, 134
In03, Run: 090, P, 0, 0, 134
In03, Run: 091, P, 0, 0, 130
In03, Run: 092, P, 0, 0, 134
In03, Run: 093, F, 0, 0, 144
In03, Run: 094, P, 0, 0, 126
In03, Run: 095, P, 0, 0, 144
In03, Run: 096, F, 0, 0, 142
In03, Run: 097, P, 0, 0, 144
In03, Run: 098, P, 0, 0, 142
In03, Run: 099, P, 0, 0, 142
In03, Run: 100, P, 0, 0, 140
In04, Run: 001, F, 0, 0, 55
In04, Run: 002, F, 0, 0, 59
In04, Run: 003, F, 0, 0, 57
In04, Run: 004, F, 0, 0, 57
In04, Run: 005, F, 0, 0, 59
In04, Run: 006, F, 0, 0, 57
In04, Run: 007, F, 0, 0, 59
In04, Run: 008, F, 0, 0, 57
In04, Run: 009, F, 0, 0, 55
In04, Run: 010, F, 0, 0, 57
In04, Run: 011, P, 0, 0, 55
In04, Run: 012, F, 0, 0, 55
In04, Run: 013, P, 0, 0, 51
In04, Run: 014, F, 0, 0, 55
In04, Run: 015, F, 0, 0, 59
In04, Run: 016, F, 0, 0, 57
In04, Run: 017, F, 0, 0, 55
In04, Run: 018, P, 0, 0, 55
In04, Run: 019, F, 0, 0, 59
In04, Run: 020, F, 0, 0, 57
In04, Run: 021, F, 0, 0, 57
In04, Run: 022, F, 0, 0, 57
In04, Run: 023, P, 0, 0, 55
In04, Run: 024, F, 0, 0, 55
In04, Run: 025, F, 0, 0, 55
In04, Run: 026, P, 0, 0, 55
In04, Run: 027, F, 0, 0, 57
In04, Run: 028, F, 0, 0, 57
In04, Run: 029, P, 0, 0, 53
In04, Run: 030, F, 0, 0, 57
In04, Run: 031, P, 0, 0, 53
In04, Run: 032, P, 0, 0, 51
In04, Run: 033, F, 0, 0, 57
In04, Run: 034, P, 0, 0, 53
In04, Run: 035, P, 0, 0, 55
In04, Run: 036, F, 0, 0, 57
In04, Run: 037, F, 0, 0, 57
In04, Run: 038, F, 0, 0, 57
In04, Run: 039, F, 0, 0, 57
In04, Run: 040, F, 0, 0, 57
In04, Run: 041, F, 0, 0, 57
In04, Run: 042, F, 0, 0, 59
In04, Run: 043, F, 0, 0, 57
In04, Run: 044, F, 0, 0, 55
In04, Run: 045, P, 0, 0, 55
In04, Run: 046, F, 0, 0, 55
In04, Run: 047, F, 0, 0, 57
In04, Run: 048, F, 0, 0, 57
In04, Run: 049, F, 0, 0, 57
In04, Run: 050, F, 0, 0, 55
In04, Run: 051, F, 0, 0, 57
In04, Run: 052, F, 0, 0, 59
In04, Run: 053, F, 0, 0, 57
In04, Run: 054, F, 0, 0, 59
In04, Run: 055, F, 0, 0, 59
In04, Run: 056, P, 0, 0, 55
In04, Run: 057, P, 0, 0, 51
In04, Run: 058, F, 0, 0, 57
In04, Run: 059, P, 0, 0, 55
In04, Run: 060, P, 0, 0, 55
In04, Run: 061, F, 0, 0, 57
In04, Run: 062, F, 0, 0, 55
In04, Run: 063, F, 0, 0, 59
In04, Run: 064, F, 0, 0, 57
In04, Run: 065, F, 0, 0, 57
In04, Run: 066, F, 0, 0, 57
In04, Run: 067, F, 0, 0, 55
In04, Run: 068, F, 0, 0, 57
In04, Run: 069, F, 0, 0, 57
In04, Run: 070, F, 0, 0, 55
In04, Run: 071, F, 0, 0, 57
In04, Run: 072, F, 0, 0, 57
In04, Run: 073, P, 0, 0, 53
In04, Run: 074, F, 0, 0, 55
In04, Run: 075, F, 0, 0, 55
In04, Run: 076, F, 0, 0, 59
In04, Run: 077, F, 0, 0, 55
In04, Run: 078, F, 0, 0, 53
In04, Run: 079, F, 0, 0, 57
In04, Run: 080, F, 0, 0, 57
In04, Run: 081, P, 0, 0, 55
In04, Run: 082, P, 0, 0, 51
In04, Run: 083, P, 0, 0, 55
In04, Run: 084, F, 0, 0, 57
In04, Run: 085, P, 0, 0, 55
In04, Run: 086, F, 0, 0, 57
In04, Run: 087, F, 0, 0, 57
In04, Run: 088, F, 0, 0, 57
In04, Run: 089, F, 0, 0, 55
In04, Run: 090, F, 0, 0, 59
In04, Run: 091, F, 0, 0, 53
In04, Run: 092, F, 0, 0, 57
In04, Run: 093, F, 0, 0, 57
In04, Run: 094, F, 0, 0, 55
In04, Run: 095, P, 0, 0, 55
In04, Run: 096, F, 0, 0, 55
In04, Run: 097, F, 0, 0, 57
In04, Run: 098, F, 0, 0, 57
In04, Run: 099, F, 0, 0, 57
In04, Run: 100, F, 0, 0, 57
In05, Run: 001, F, 0, 0, 77
In05, Run: 002, F, 0, 0, 77
In05, Run: 003, F, 0, 0, 83
In05, Run: 004, P, 0, 0, 71
In05, Run: 005, F, 0, 0, 89
In05, Run: 006, F, 0, 0, 75
In05, Run: 007, F, 0, 0, 79
In05, Run: 008, F, 0, 0, 83
In05, Run: 009, P, 0, 0, 73
In05, Run: 010, F, 0, 0, 81
In05, Run: 011, F, 0, 0, 83
In05, Run: 012, F, 0, 0, 79
In05, Run: 013, F, 0, 0, 85
In05, Run: 014, F, 0, 0, 83
In05, Run: 015, F, 0, 0, 85
In05, Run: 016, F, 0, 0, 85
In05, Run: 017, F, 0, 0, 79
In05, Run: 018, F, 0, 0, 83
In05, Run: 019, F, 0, 0, 87
In05, Run: 020, P, 0, 0, 75
In05, Run: 021, F, 0, 0, 77
In05, Run: 022, P, 0, 0, 73
In05, Run: 023, F, 0, 0, 77
In05, Run: 024, F, 0, 0, 85
In05, Run: 025, F, 0, 0, 79
In05, Run: 026, F, 0, 0, 81
In05, Run: 027, F, 0, 0, 85
In05, Run: 028, F, 0, 0, 93
In05, Run: 029, F, 0, 0, 91
In05, Run: 030, F, 0, 0, 83
In05, Run: 031, F, 0, 0, 85
In05, Run: 032, F, 0, 0, 81
In05, Run: 033, F, 0, 0, 79
In05, Run: 034, F, 0, 0, 77
In05, Run: 035, F, 0, 0, 87
In05, Run: 036, F, 0, 0, 93
In05, Run: 037, F, 0, 0, 79
In05, Run: 038, F, 0, 0, 85
In05, Run: 039, F, 0, 0, 87
In05, Run: 040, F, 0, 0, 85
In05, Run: 041, F, 0, 0, 83
In05, Run: 042, F, 0, 0, 89
In05, Run: 043, F, 0, 0, 75
In05, Run: 044, F, 0, 0, 89
In05, Run: 045, F, 0, 0, 79
In05, Run: 046, F, 0, 0, 85
In05, Run: 047, F, 0, 0, 89
In05, Run: 048, F, 0, 0, 81
In05, Run: 049, F, 0, 0, 85
In05, Run: 050, F, 0, 0, 81
In05, Run: 051, P, 0, 0, 71
In05, Run: 052, F, 0, 0, 81
In05, Run: 053, F, 0, 0, 83
In05, Run: 054, F, 0, 0, 85
In05, Run: 055, F, 0, 0, 79
In05, Run: 056, F, 0, 0, 77
In05, Run: 057, F, 0, 0, 79
In05, Run: 058, F, 0, 0, 83
In05, Run: 059, F, 0, 0, 89
In05, Run: 060, F, 0, 0, 85
In05, Run: 061, P, 0, 0, 73
In05, Run: 062, F, 0, 0, 85
In05, Run: 063, P, 0, 0, 73
In05, Run: 064, F, 0, 0, 85
In05, Run: 065, F, 0, 0, 79
In05, Run: 066, P, 0, 0, 75
In05, Run: 067, P, 0, 0, 75
In05, Run: 068, F, 0, 0, 85
In05, Run: 069, F, 0, 0, 87
In05, Run: 070, F, 0, 0, 85
In05, Run: 071, F, 0, 0, 81
In05, Run: 072, F, 0, 0, 81
In05, Run: 073, F, 0, 0, 93
In05, Run: 074, P, 0, 0, 75
In05, Run: 075, F, 0, 0, 81
In05, Run: 076, F, 0, 0, 83
In05, Run: 077, F, 0, 0, 89
In05, Run: 078, F, 0, 0, 89
In05, Run: 079, F, 0, 0, 79
In05, Run: 080, F, 0, 0, 87
In05, Run: 081, P, 0, 0, 75
In05, Run: 082, F, 0, 0, 79
In05, Run: 083, F, 0, 0, 79
In05, Run: 084, F, 0, 0, 85
In05, Run: 085, P, 0, 0, 73
In05, Run: 086, F, 0, 0, 89
In05, Run: 087, F, 0, 0, 87
In05, Run: 088, F, 0, 0, 85
In05, Run: 089, F, 0, 0, 85
In05, Run: 090, F, 0, 0, 81
In05, Run: 091, P, 0, 0, 71
In05, Run: 092, F, 0, 0, 85
In05, Run: 093, P, 0, 0, 75
In05, Run: 094, F, 0, 0, 85
In05, Run: 095, F, 0, 0, 79
In05, Run: 096, P, 0, 0, 75
In05, Run: 097, F, 0, 0, 79
In05, Run: 098, F, 0, 0, 79
In05, Run: 099, F, 0, 0, 87
In05, Run: 100, F, 0, 0, 77
In06, Run: 001, P, 0, 0, 221
In06, Run: 002, F, 0, 0, 227
In06, Run: 003, P, 0, 0, 235
In06, Run: 004, P, 0, 0, 227
In06, Run: 005, F, 0, 0, 229
In06, Run: 006, P, 0, 0, 223
In06, Run: 007, F, 0, 0, 243
In06, Run: 008, F, 0, 0, 237
In06, Run: 009, P, 0, 0, 225
In06, Run: 010, P, 0, 0, 221
In06, Run: 011, F, 0, 0, 225
In06, Run: 012, F, 0, 0, 235
In06, Run: 013, P, 0, 0, 225
In06, Run: 014, F, 0, 0, 233
In06, Run: 015, P, 0, 0, 213
In06, Run: 016, P, 0, 0, 229
In06, Run: 017, P, 0, 0, 215
In06, Run: 018, P, 0, 0, 227
In06, Run: 019, P, 0, 0, 213
In06, Run: 020, F, 0, 0, 227
In06, Run: 021, F, 0, 0, 219
In06, Run: 022, F, 0, 0, 231
In06, Run: 023, P, 0, 0, 221
In06, Run: 024, P, 0, 0, 229
In06, Run: 025, P, 0, 0, 215
In06, Run: 026, P, 0, 0, 221
In06, Run: 027, P, 0, 0, 231
In06, Run: 028, F, 0, 0, 227
In06, Run: 029, F, 0, 0, 227
In06, Run: 030, P, 0, 0, 229
In06, Run: 031, F, 0, 0, 237
In06, Run: 032, P, 0, 0, 223
In06, Run: 033, P, 0, 0, 219
In06, Run: 034, F, 0, 0, 233
In06, Run: 035, P, 0, 0, 215
In06, Run: 036, P, 0, 0, 233
In06, Run: 037, P, 0, 0, 229
In06, Run: 038, P, 0, 0, 221
In06, Run: 039, F, 0, 0, 227
In06, Run: 040, P, 0, 0, 217
In06, Run: 041, P, 0, 0, 217
In06, Run: 042, P, 0, 0, 221
In06, Run: 043, F, 0, 0, 241
In06, Run: 044, P, 0, 0, 207
In06, Run: 045, F, 0, 0, 225
In06, Run: 046, P, 0, 0, 213
In06, Run: 047, P, 0, 0, 235
In06, Run: 048, P, 0, 0, 231
In06, Run: 049, P, 0, 0, 215
In06, Run: 050, P, 0, 0, 227
In06, Run: 051, F, 0, 0, 239
In06, Run: 052, P, 0, 0, 225
In06, Run: 053, P, 0, 0, 231
In06, Run: 054, P, 0, 0, 231
In06, Run: 055, P, 0, 0, 229
In06, Run: 056, P, 0, 0, 219
In06, Run: 057, P, 0, 0, 217
In06, Run: 058, P, 0, 0, 229
In06, Run: 059, P, 0, 0, 225
In06, Run: 060, P, 0, 0, 225
In06, Run: 061, P, 0, 0, 217
In06, Run: 062, P, 0, 0, 223
In06, Run: 063, F, 0, 0, 233
In06, Run: 064, F, 0, 0, 237
In06, Run: 065, P, 0, 0, 231
In06, Run: 066, P, 0, 0, 235
In06, Run: 067, P, 0, 0, 233
In06, Run: 068, P, 0, 0, 229
In06, Run: 069, F, 0, 0, 249
In06, Run: 070, P, 0, 0, 223
In06, Run: 071, F, 0, 0, 235
In06, Run: 072, F, 0, 0, 237
In06, Run: 073, P, 0, 0, 219
In06, Run: 074, P, 0, 0, 227
In06, Run: 075, F, 0, 0, 229
In06, Run: 076, P, 0, 0, 217
In06, Run: 077, P, 0, 0, 223
In06, Run: 078, F, 0, 0, 231
In06, Run: 079, P, 0, 0, 219
In06, Run: 080, F, 0, 0, 239
In06, Run: 081, P, 0, 0, 223
In06, Run: 082, F, 0, 0, 229
In06, Run: 083, P, 0, 0, 223
In06, Run: 084, P, 0, 0, 221
In06, Run: 085, F, 0, 0, 237
In06, Run: 086, P, 0, 0, 217
In06, Run: 087, F, 0, 0, 233
In06, Run: 088, P, 0, 0, 225
In06, Run: 089, F, 0, 0, 229
In06, Run: 090, P, 0, 0, 225
In06, Run: 091, F, 0, 0, 229
In06, Run: 092, F, 0, 0, 223
In06, Run: 093, P, 0, 0, 229
In06, Run: 094, P, 0, 0, 217
In06, Run: 095, P, 0, 0, 227
In06, Run: 096, P, 0, 0, 223
In06, Run: 097, P, 0, 0, 225
In06, Run: 098, F, 0, 0, 225
In06, Run: 099, P, 0, 0, 221
In06, Run: 100, F, 0, 0, 241
In10, Run: 001, P, 0, 0, 58
In10, Run: 002, P, 0, 0, 60
In10, Run: 003, P, 0, 0, 56
In10, Run: 004, P, 0, 0, 58
In10, Run: 005, P, 0, 0, 58
In10, Run: 006, P, 0, 0, 58
In10, Run: 007, P, 0, 0, 56
In10, Run: 008, P, 0, 0, 54
In10, Run: 009, P, 0, 0, 52
In10, Run: 010, P, 0, 0, 62
In10, Run: 011, P, 0, 0, 56
In10, Run: 012, F, 0, 0, 60
In10, Run: 013, F, 0, 0, 62
In10, Run: 014, F, 0, 0, 62
In10, Run: 015, P, 0, 0, 56
In10, Run: 016, F, 0, 0, 60
In10, Run: 017, F, 0, 0, 62
In10, Run: 018, P, 0, 0, 58
In10, Run: 019, F, 0, 0, 62
In10, Run: 020, P, 0, 0, 52
In10, Run: 021, F, 0, 0, 62
In10, Run: 022, F, 0, 0, 60
In10, Run: 023, F, 0, 0, 62
In10, Run: 024, F, 0, 0, 60
In10, Run: 025, F, 0, 0, 58
In10, Run: 026, P, 0, 0, 56
In10, Run: 027, F, 0, 0, 64
In10, Run: 028, F, 0, 0, 62
In10, Run: 029, F, 0, 0, 56
In10, Run: 030, P, 0, 0, 58
In10, Run: 031, P, 0, 0, 60
In10, Run: 032, F, 0, 0, 62
In10, Run: 033, P, 0, 0, 56
In10, Run: 034, P, 0, 0, 52
In10, Run: 035, F, 0, 0, 60
In10, Run: 036, F, 0, 0, 64
In10, Run: 037, F, 0, 0, 62
In10, Run: 038, P, 0, 0, 56
In10, Run: 039, P, 0, 0, 58
In10, Run: 040, P, 0, 0, 60
In10, Run: 041, P, 0, 0, 56
In10, Run: 042, F, 0, 0, 66
In10, Run: 043, F, 0, 0, 60
In10, Run: 044, F, 0, 0, 64
In10, Run: 045, P, 0, 0, 58
In10, Run: 046, F, 0, 0, 60
In10, Run: 047, P, 0, 0, 62
In10, Run: 048, P, 0, 0, 56
In10, Run: 049, P, 0, 0, 60
In10, Run: 050, F, 0, 0, 62
In10, Run: 051, F, 0, 0, 64
In10, Run: 052, F, 0, 0, 60
In10, Run: 053, P, 0, 0, 54
In10, Run: 054, P, 0, 0, 62
In10, Run: 055, P, 0, 0, 56
In10, Run: 056, F, 0, 0, 60
In10, Run: 057, F, 0, 0, 58
In10, Run: 058, P, 0, 0, 60
In10, Run: 059, P, 0, 0, 58
In10, Run: 060, P, 0, 0, 60
In10, Run: 061, P, 0, 0, 56
In10, Run: 062, F, 0, 0, 62
In10, Run: 063, P, 0, 0, 56
In10, Run: 064, P, 0, 0, 56
In10, Run: 065, F, 0, 0, 60
In10, Run: 066, F, 0, 0, 62
In10, Run: 067, F, 0, 0, 60
In10, Run: 068, F, 0, 0, 64
In10, Run: 069, P, 0, 0, 64
In10, Run: 070, P, 0, 0, 56
In10, Run: 071, P, 0, 0, 58
In10, Run: 072, F, 0, 0, 60
In10, Run: 073, F, 0, 0, 64
In10, Run: 074, P, 0, 0, 58
In10, Run: 075, F, 0, 0, 64
In10, Run: 076, P, 0, 0, 62
In10, Run: 077, F, 0, 0, 66
In10, Run: 078, P, 0, 0, 56
In10, Run: 079, P, 0, 0, 58
In10, Run: 080, F, 0, 0, 58
In10, Run: 081, P, 0, 0, 56
In10, Run: 082, P, 0, 0, 56
In10, Run: 083, P, 0, 0, 48
In10, Run: 084, P, 0, 0, 58
In10, Run: 085, P, 0, 0, 58
In10, Run: 086, P, 0, 0, 56
In10, Run: 087, F, 0, 0, 60
In10, Run: 088, P, 0, 0, 48
In10, Run: 089, F, 0, 0, 62
In10, Run: 090, F, 0, 0, 62
In10, Run: 091, P, 0, 0, 54
In10, Run: 092, F, 0, 0, 60
In10, Run: 093, P, 0, 0, 52
In10, Run: 094, P, 0, 0, 52
In10, Run: 095, F, 0, 0, 58
