Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 096, P, 0, 0, 0, 12, 7, 9, 2, 4
INVAR-10, Run: 097, P, 0, 0, 0, 12, 7, 9, 2, 4
INVAR-10, Run: 098, P, 0, 0, 0, 12, 7, 9, 2, 4
INVAR-10, Run: 099, P, 0, 8, 0, 4, 9, 10, 12, 13
INVAR-10, Run: 100, P, 0, 10, 0, 2, 6, 4, 11, 9
INVAR-11, Run: 001, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 002, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 003, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 004, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 005, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 006, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 007, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 008, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 009, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 010, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 011, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 012, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 013, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 014, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 015, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 016, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 017, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 018, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 019, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 020, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 021, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 022, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 023, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 024, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 025, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 026, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 027, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 028, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 029, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 030, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 031, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 032, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 033, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 034, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 035, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 036, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 037, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 038, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 039, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 040, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 041, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 042, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 043, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 044, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 045, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 046, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 047, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 048, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 049, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 050, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 051, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 052, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 053, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 054, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 055, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 056, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 057, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 058, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 059, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 060, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 061, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 062, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 063, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 064, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 065, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 066, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 067, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 068, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 069, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 070, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 071, P, 0, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 072, P, 0, 0, 0, 13, 0, 0, 0, 0
