Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
ASE2,4,100,100,0,0,0,100
ASE2,5,100,100,0,0,0,100
ASE2,6,100,100,0,0,0,100
ASE3,7,100,0,0,0,0,0
ASE4,1,100,0,0,0,0,0
ASE4,10,100,0,0,0,0,0
ASE4,2,100,0,0,0,0,0
ASE4,3,100,0,0,0,0,0
ASE4,4,100,0,0,0,0,0
ASE4,5,100,0,0,0,0,0
ASE4,6,100,0,0,0,0,0
ASE4,8,100,0,0,0,0,0
ASE4,9,100,0,0,0,0,0
ASE7,4,100,41,0,0,0,41
ASE7,5,100,44,0,0,0,44
ASE7,6,100,56,0,0,0,56
ASE8,4,100,0,0,0,0,0
ASE8,5,100,0,0,0,0,0
ASE8,6,100,0,0,0,0,0
M16,4,100,55,0,0,0,55
M16,5,100,54,0,0,0,54
M16,6,100,49,0,0,0,49
