Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,0,0,0,0,0
A1,INVAR-10,100,0,0,0,0,0
A1,INVAR-11,100,0,0,0,0,0
A1,INVAR-12,100,0,0,0,0,0
A1,INVAR-13,100,0,0,0,0,0
A1,INVAR-14,100,0,0,0,0,0
A1,INVAR-15,100,0,0,0,0,0
A1,INVAR-16,100,0,0,0,0,0
A1,INVAR-17,100,0,0,0,0,0
A1,INVAR-18,100,0,0,0,0,0
A1,INVAR-19,100,0,0,0,0,0
A1,INVAR-2,100,0,0,0,0,0
A1,INVAR-20,100,0,0,0,0,0
A1,INVAR-21,100,0,0,0,0,0
A1,INVAR-22,100,0,0,0,0,0
A1,INVAR-23,100,0,0,0,0,0
A1,INVAR-24,100,0,0,0,0,0
A1,INVAR-25,100,0,0,0,0,0
A1,INVAR-26,100,0,0,0,0,0
A1,INVAR-27,100,0,0,0,0,0
A1,INVAR-28,100,0,0,0,0,0
A1,INVAR-29,100,0,0,0,0,0
A1,INVAR-3,100,0,0,0,0,0
A1,INVAR-30,100,0,0,0,0,0
A1,INVAR-31,100,0,0,0,0,0
A1,INVAR-32,100,0,0,0,0,0
A1,INVAR-33,100,0,0,0,0,0
A1,INVAR-34,100,0,0,0,0,0
A1,INVAR-35,100,0,0,0,0,0
A1,INVAR-36,100,0,0,0,0,0
A1,INVAR-37,100,0,0,0,0,0
A1,INVAR-38,100,0,0,0,0,0
A1,INVAR-39,100,0,0,0,0,0
A1,INVAR-4,100,0,0,0,0,0
A1,INVAR-40,100,0,0,0,0,0
A1,INVAR-41,100,0,0,0,0,0
A1,INVAR-42,100,0,0,0,0,0
A1,INVAR-43,100,0,0,0,0,0
A1,INVAR-44,100,0,0,0,0,0
A1,INVAR-45,100,0,0,0,0,0
A1,INVAR-46,100,0,0,0,0,0
A1,INVAR-5,100,0,0,0,0,0
A1,INVAR-6,100,0,0,0,0,0
A1,INVAR-7,100,0,0,0,0,0
A1,INVAR-8,100,0,0,0,0,0
A1,INVAR-9,100,0,0,0,0,0
A2,INVAR-1,100,73,0,0,0,73
A2,INVAR-10,100,83,0,0,0,83
A2,INVAR-11,100,61,0,0,0,61
A2,INVAR-12,100,65,0,0,0,65
A2,INVAR-13,100,65,0,0,0,65
A2,INVAR-14,100,70,0,0,0,70
A2,INVAR-15,100,54,0,0,0,54
A2,INVAR-16,100,54,0,0,0,54
A2,INVAR-17,100,70,0,0,0,70
A2,INVAR-18,100,52,0,0,0,52
A2,INVAR-19,100,100,0,0,0,100
A2,INVAR-2,100,74,0,0,0,74
A2,INVAR-20,100,100,0,0,0,100
A2,INVAR-21,100,100,0,0,0,100
A2,INVAR-22,100,77,0,0,0,77
A2,INVAR-23,100,61,0,0,0,61
A2,INVAR-24,100,81,0,0,0,81
A2,INVAR-25,100,0,0,0,0,0
A2,INVAR-26,100,0,0,0,0,0
A2,INVAR-27,100,0,0,0,0,0
A2,INVAR-28,100,0,0,0,0,0
A2,INVAR-29,100,0,0,0,0,0
A2,INVAR-3,100,78,0,0,0,78
A2,INVAR-30,100,0,0,0,0,0
A2,INVAR-31,100,0,0,0,0,0
A2,INVAR-32,100,0,0,0,0,0
A2,INVAR-33,100,0,0,0,0,0
A2,INVAR-34,100,0,0,0,0,0
A2,INVAR-35,100,57,0,0,0,57
A2,INVAR-36,100,55,0,0,0,55
A2,INVAR-37,100,77,0,0,0,77
A2,INVAR-38,100,89,0,0,0,89
A2,INVAR-39,100,58,0,0,0,58
A2,INVAR-4,100,56,0,0,0,56
A2,INVAR-40,100,54,0,0,0,54
A2,INVAR-41,100,100,0,0,0,100
A2,INVAR-42,100,100,0,0,0,100
A2,INVAR-43,100,100,0,0,0,100
A2,INVAR-44,100,57,0,0,0,57
A2,INVAR-45,100,54,0,0,0,54
A2,INVAR-46,100,53,0,0,0,53
A2,INVAR-5,100,72,0,0,0,72
A2,INVAR-6,100,63,0,0,0,63
A2,INVAR-7,100,100,0,0,0,100
A2,INVAR-8,100,35,0,0,0,35
A2,INVAR-9,100,40,0,0,0,40
