Input Number, Run_Number, Result@ 100, A2, F1, F2, A1, F1P, F2P, Y, A2*, F1*, F2*, A1*, F1P*, F2P*, Y*
1, Run: 001, P, 29, 0, 0, 209, 0, 6, 3
1, Run: 002, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 003, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 004, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 005, F, 28, 0, 0, 209, 0, 6, 3
1, Run: 006, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 007, P, 33, 0, 0, 208, 0, 0, 5
1, Run: 008, F, 28, 0, 0, 209, 0, 6, 3
1, Run: 009, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 010, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 011, P, 30, 0, 0, 209, 0, 3, 4
1, Run: 012, F, 27, 0, 0, 209, 0, 6, 3
1, Run: 013, P, 34, 0, 0, 207, 0, 0, 5
1, Run: 014, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 015, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 016, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 017, P, 29, 0, 0, 209, 0, 6, 3
1, Run: 018, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 019, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 020, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 021, P, 34, 0, 0, 207, 0, 0, 5
1, Run: 022, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 023, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 024, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 025, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 026, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 027, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 028, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 029, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 030, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 031, P, 35, 0, 0, 207, 0, 0, 5
1, Run: 032, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 033, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 034, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 035, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 036, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 037, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 038, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 039, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 040, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 041, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 042, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 043, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 044, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 045, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 046, P, 30, 0, 0, 209, 0, 3, 4
1, Run: 047, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 048, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 049, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 050, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 051, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 052, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 053, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 054, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 055, P, 32, 0, 0, 208, 0, 3, 4
1, Run: 056, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 057, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 058, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 059, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 060, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 061, P, 34, 0, 0, 208, 0, 0, 5
1, Run: 062, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 063, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 064, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 065, P, 29, 0, 0, 209, 0, 6, 3
1, Run: 066, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 067, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 068, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 069, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 070, F, 28, 0, 0, 209, 0, 6, 3
1, Run: 071, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 072, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 073, P, 32, 0, 0, 208, 0, 3, 4
1, Run: 074, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 075, P, 34, 0, 0, 207, 0, 0, 5
1, Run: 076, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 077, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 078, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 079, P, 31, 0, 0, 208, 0, 3, 4
1, Run: 080, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 081, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 082, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 083, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 084, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 085, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 086, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 087, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 088, P, 30, 0, 0, 208, 0, 3, 4
1, Run: 089, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 090, P, 28, 0, 0, 209, 0, 6, 3
1, Run: 091, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 092, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 093, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 094, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 095, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 096, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 097, P, 33, 0, 0, 207, 0, 0, 5
1, Run: 098, P, 27, 0, 0, 209, 0, 6, 3
1, Run: 099, P, 34, 0, 0, 207, 0, 0, 5
1, Run: 100, P, 33, 0, 0, 207, 0, 0, 5
10, Run: 001, P, 12, 0, 0, 130, 0, 3, 4
