Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P, Y, A1*, F1*, F1P*, A2*, F2*, F2P*, Y*
1, Run: 001, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 002, P, 13, 0, 24, 34, 0, 5, 0
1, Run: 003, P, 9, 0, 24, 34, 0, 5, 0
1, Run: 004, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 005, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 006, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 007, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 008, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 009, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 010, P, 7, 0, 24, 33, 0, 5, 0
1, Run: 011, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 012, P, 9, 0, 24, 34, 0, 5, 0
1, Run: 013, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 014, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 015, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 016, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 017, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 018, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 019, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 020, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 021, P, 11, 0, 24, 34, 0, 5, 0
1, Run: 022, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 023, P, 7, 0, 24, 34, 0, 5, 0
1, Run: 024, P, 6, 0, 24, 33, 0, 5, 0
1, Run: 025, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 026, P, 6, 0, 24, 33, 0, 5, 0
1, Run: 027, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 028, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 029, P, 11, 0, 24, 34, 0, 5, 0
1, Run: 030, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 031, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 032, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 033, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 034, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 035, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 036, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 037, P, 9, 0, 24, 34, 0, 5, 0
1, Run: 038, P, 6, 0, 24, 33, 0, 5, 0
1, Run: 039, P, 10, 0, 24, 34, 0, 5, 0
1, Run: 040, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 041, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 042, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 043, P, 12, 0, 24, 34, 0, 5, 0
1, Run: 044, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 045, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 046, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 047, P, 14, 0, 24, 33, 0, 5, 0
1, Run: 048, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 049, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 050, P, 9, 0, 24, 34, 0, 5, 0
1, Run: 051, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 052, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 053, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 054, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 055, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 056, P, 7, 0, 24, 33, 0, 5, 0
1, Run: 057, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 058, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 059, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 060, P, 10, 0, 24, 34, 0, 5, 0
1, Run: 061, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 062, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 063, P, 7, 0, 24, 33, 0, 5, 0
1, Run: 064, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 065, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 066, P, 8, 0, 24, 34, 0, 5, 0
1, Run: 067, P, 7, 0, 24, 33, 0, 5, 0
1, Run: 068, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 069, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 070, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 071, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 072, P, 11, 0, 24, 34, 0, 5, 0
1, Run: 073, P, 8, 0, 24, 34, 0, 5, 0
1, Run: 074, P, 12, 0, 24, 33, 0, 5, 0
1, Run: 075, P, 9, 0, 24, 34, 0, 5, 0
1, Run: 076, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 077, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 078, P, 8, 0, 24, 34, 0, 5, 0
1, Run: 079, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 080, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 081, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 082, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 083, P, 10, 0, 24, 34, 0, 5, 0
1, Run: 084, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 085, P, 6, 0, 24, 33, 0, 5, 0
1, Run: 086, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 087, P, 6, 0, 24, 34, 0, 5, 0
1, Run: 088, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 089, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 090, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 091, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 092, P, 6, 0, 24, 33, 0, 5, 0
1, Run: 093, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 094, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 095, P, 9, 0, 24, 33, 0, 5, 0
1, Run: 096, P, 8, 0, 24, 33, 0, 5, 0
1, Run: 097, P, 11, 0, 24, 33, 0, 5, 0
1, Run: 098, P, 11, 0, 24, 34, 0, 5, 0
1, Run: 099, P, 10, 0, 24, 33, 0, 5, 0
1, Run: 100, P, 10, 0, 24, 33, 0, 5, 0
10, Run: 001, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 002, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 003, P, 1, 0, 90, 14, 0, 5, 0
10, Run: 004, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 005, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 006, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 007, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 008, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 009, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 010, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 011, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 012, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 013, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 014, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 015, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 016, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 017, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 018, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 019, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 020, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 021, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 022, P, 1, 0, 90, 13, 0, 5, 0
10, Run: 023, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 024, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 025, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 026, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 027, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 028, P, 2, 0, 90, 13, 0, 5, 0
10, Run: 029, P, 0, 0, 90, 15, 0, 5, 0
10, Run: 030, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 031, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 032, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 033, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 034, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 035, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 036, P, 1, 0, 90, 13, 0, 5, 0
10, Run: 037, P, 2, 0, 90, 13, 0, 5, 0
10, Run: 038, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 039, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 040, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 041, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 042, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 043, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 044, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 045, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 046, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 047, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 048, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 049, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 050, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 051, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 052, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 053, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 054, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 055, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 056, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 057, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 058, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 059, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 060, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 061, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 062, P, 1, 0, 90, 14, 0, 5, 0
10, Run: 063, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 064, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 065, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 066, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 067, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 068, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 069, P, 2, 0, 90, 13, 0, 5, 0
10, Run: 070, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 071, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 072, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 073, P, 1, 0, 90, 15, 0, 5, 0
10, Run: 074, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 075, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 076, P, 1, 0, 90, 13, 0, 5, 0
10, Run: 077, P, 1, 0, 90, 14, 0, 5, 0
10, Run: 078, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 079, P, 0, 0, 90, 16, 0, 5, 0
10, Run: 080, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 081, P, 1, 0, 90, 13, 0, 5, 0
10, Run: 082, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 083, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 084, P, 0, 0, 90, 15, 0, 5, 0
10, Run: 085, P, 1, 0, 90, 14, 0, 5, 0
10, Run: 086, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 087, P, 1, 0, 90, 14, 0, 5, 0
10, Run: 088, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 089, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 090, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 091, P, 0, 0, 90, 15, 0, 5, 0
10, Run: 092, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 093, P, 0, 0, 90, 15, 0, 5, 0
10, Run: 094, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 095, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 096, P, 1, 0, 90, 13, 0, 5, 0
10, Run: 097, P, 0, 0, 90, 14, 0, 5, 0
10, Run: 098, P, 0, 0, 90, 13, 0, 5, 0
10, Run: 099, P, 0, 0, 90, 15, 0, 5, 0
10, Run: 100, P, 0, 0, 90, 14, 0, 5, 0
11, Run: 001, P, 57, 0, 57, 81, 0, 5, 0
11, Run: 002, P, 54, 0, 57, 82, 0, 5, 0
11, Run: 003, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 004, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 005, P, 59, 0, 57, 81, 0, 5, 0
11, Run: 006, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 007, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 008, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 009, P, 52, 0, 57, 82, 0, 5, 0
11, Run: 010, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 011, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 012, P, 46, 0, 57, 81, 0, 5, 0
11, Run: 013, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 014, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 015, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 016, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 017, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 018, P, 53, 0, 57, 82, 0, 5, 0
11, Run: 019, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 020, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 021, P, 56, 0, 57, 82, 0, 5, 0
11, Run: 022, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 023, P, 57, 0, 57, 81, 0, 5, 0
11, Run: 024, P, 56, 0, 57, 81, 0, 5, 0
11, Run: 025, P, 51, 0, 57, 82, 0, 5, 0
11, Run: 026, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 027, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 028, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 029, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 030, P, 56, 0, 57, 82, 0, 5, 0
11, Run: 031, P, 47, 0, 57, 81, 0, 5, 0
11, Run: 032, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 033, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 034, P, 55, 0, 57, 81, 0, 5, 0
11, Run: 035, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 036, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 037, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 038, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 039, P, 54, 0, 57, 81, 0, 5, 0
11, Run: 040, P, 55, 0, 57, 81, 0, 5, 0
11, Run: 041, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 042, P, 54, 0, 57, 82, 0, 5, 0
11, Run: 043, P, 50, 0, 57, 82, 0, 5, 0
11, Run: 044, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 045, P, 54, 0, 57, 81, 0, 5, 0
11, Run: 046, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 047, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 048, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 049, P, 46, 0, 57, 81, 0, 5, 0
11, Run: 050, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 051, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 052, P, 57, 0, 57, 81, 0, 5, 0
11, Run: 053, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 054, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 055, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 056, P, 58, 0, 57, 81, 0, 5, 0
11, Run: 057, P, 54, 0, 57, 81, 0, 5, 0
11, Run: 058, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 059, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 060, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 061, P, 55, 0, 57, 81, 0, 5, 0
11, Run: 062, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 063, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 064, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 065, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 066, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 067, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 068, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 069, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 070, P, 55, 0, 57, 82, 0, 5, 0
11, Run: 071, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 072, P, 54, 0, 57, 81, 0, 5, 0
11, Run: 073, P, 46, 0, 57, 81, 0, 5, 0
11, Run: 074, P, 48, 0, 57, 81, 0, 5, 0
11, Run: 075, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 076, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 077, P, 54, 0, 57, 81, 0, 5, 0
11, Run: 078, P, 55, 0, 57, 81, 0, 5, 0
11, Run: 079, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 080, P, 56, 0, 57, 81, 0, 5, 0
11, Run: 081, P, 58, 0, 57, 81, 0, 5, 0
11, Run: 082, P, 51, 0, 57, 81, 0, 5, 0
11, Run: 083, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 084, P, 52, 0, 57, 82, 0, 5, 0
11, Run: 085, P, 60, 0, 57, 81, 0, 5, 0
11, Run: 086, P, 53, 0, 57, 82, 0, 5, 0
11, Run: 087, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 088, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 089, P, 60, 0, 57, 81, 0, 5, 0
11, Run: 090, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 091, P, 52, 0, 57, 81, 0, 5, 0
11, Run: 092, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 093, P, 49, 0, 57, 81, 0, 5, 0
11, Run: 094, P, 53, 0, 57, 81, 0, 5, 0
11, Run: 095, P, 50, 0, 57, 81, 0, 5, 0
11, Run: 096, P, 52, 0, 57, 81, 0, 5, 0
