Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y, A2*, A1*, F1*, F1P*, F2*, F2P*, Y*
1, Run: 001, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 002, P, 35, 19, 0, 0, 0, 0, 5
1, Run: 003, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 004, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 005, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 006, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 007, P, 33, 21, 0, 0, 0, 0, 5
1, Run: 008, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 009, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 010, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 011, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 012, P, 34, 20, 0, 0, 0, 0, 5
1, Run: 013, P, 35, 19, 0, 0, 0, 0, 5
1, Run: 014, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 015, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 016, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 017, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 018, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 019, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 020, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 021, P, 34, 20, 0, 0, 0, 0, 5
1, Run: 022, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 023, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 024, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 025, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 026, P, 33, 22, 0, 0, 0, 0, 5
1, Run: 027, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 028, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 029, P, 34, 20, 0, 0, 0, 0, 5
1, Run: 030, P, 33, 21, 0, 0, 0, 0, 5
1, Run: 031, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 032, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 033, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 034, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 035, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 036, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 037, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 038, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 039, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 040, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 041, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 042, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 043, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 044, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 045, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 046, P, 34, 19, 0, 0, 0, 0, 5
1, Run: 047, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 048, P, 33, 20, 0, 0, 0, 0, 5
1, Run: 049, P, 33, 19, 0, 0, 0, 0, 5
1, Run: 050, P, 33, 19, 0, 0, 0, 0, 5
