Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 001, F, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 002, F, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 003, F, 44, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 004, F, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 005, F, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 006, F, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 007, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 008, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 009, F, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 010, F, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 011, F, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 012, F, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 013, F, 51, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 014, F, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 015, F, 50, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 016, F, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 017, F, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 018, F, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 019, F, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 020, F, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 021, F, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 022, F, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 023, F, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 024, F, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 025, F, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 026, F, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 027, F, 24, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 028, F, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 029, F, 30, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 030, F, 55, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 031, F, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 032, F, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 033, F, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 034, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 035, F, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 036, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 037, F, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 038, F, 58, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 039, F, 42, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 040, F, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 041, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 042, F, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 043, F, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 044, F, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 045, F, 50, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 046, F, 62, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 047, F, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 048, F, 63, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 049, F, 40, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 050, F, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 051, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 052, F, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 053, F, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 054, F, 51, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 055, F, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 056, F, 60, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 057, F, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 058, F, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
