Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,59,0,0,0,59
A1,INVAR-10,100,61,0,0,0,61
A1,INVAR-11,100,62,0,0,0,62
A1,INVAR-12,100,78,0,0,0,78
A1,INVAR-13,100,72,0,0,0,72
A1,INVAR-14,100,68,0,0,0,68
A1,INVAR-15,100,87,0,0,0,87
A1,INVAR-16,100,57,0,0,0,57
A1,INVAR-17,100,55,0,0,0,55
A1,INVAR-18,100,53,0,0,0,53
A1,INVAR-19,100,0,0,0,0,0
A1,INVAR-2,100,55,0,0,0,55
A1,INVAR-20,100,0,0,0,0,0
A1,INVAR-21,100,0,0,0,0,0
A1,INVAR-22,100,65,0,0,0,65
A1,INVAR-23,100,74,0,0,0,74
A1,INVAR-24,100,64,0,0,0,64
A1,INVAR-25,100,41,0,0,0,41
A1,INVAR-26,100,100,0,0,0,100
A1,INVAR-27,100,100,0,0,0,100
A1,INVAR-28,100,28,0,0,0,28
A1,INVAR-29,100,100,0,0,0,100
A1,INVAR-3,100,59,0,0,0,59
A1,INVAR-30,100,100,0,0,0,100
A1,INVAR-31,100,0,0,0,0,0
A1,INVAR-32,100,100,0,0,0,100
A1,INVAR-33,100,100,0,0,0,100
A1,INVAR-34,100,100,0,0,0,100
A1,INVAR-35,100,73,0,0,0,73
A1,INVAR-36,100,48,0,0,0,48
A1,INVAR-37,100,58,0,0,0,58
A1,INVAR-38,100,61,0,0,0,61
A1,INVAR-39,100,80,0,0,0,80
A1,INVAR-4,100,63,0,0,0,63
A1,INVAR-40,100,85,0,0,0,85
A1,INVAR-41,100,0,0,0,0,0
A1,INVAR-42,100,0,0,0,0,0
A1,INVAR-43,100,0,0,0,0,0
A1,INVAR-44,100,65,0,0,0,65
A1,INVAR-45,100,61,0,0,0,61
A1,INVAR-46,100,59,0,0,0,59
A1,INVAR-5,100,60,0,0,0,60
A1,INVAR-6,100,83,0,0,0,83
A1,INVAR-7,100,0,0,0,0,0
A1,INVAR-8,100,0,0,0,0,0
A1,INVAR-9,100,0,0,0,0,0
A2,INVAR-1,100,59,0,0,0,59
A2,INVAR-10,100,61,0,0,0,61
A2,INVAR-11,100,62,0,0,0,62
A2,INVAR-12,100,78,0,0,0,78
A2,INVAR-13,100,72,0,0,0,72
A2,INVAR-14,100,68,0,0,0,68
A2,INVAR-15,100,87,0,0,0,87
A2,INVAR-16,100,57,0,0,0,57
A2,INVAR-17,100,55,0,0,0,55
A2,INVAR-18,100,53,0,0,0,53
A2,INVAR-19,100,0,0,0,0,0
A2,INVAR-2,100,55,0,0,0,55
A2,INVAR-20,100,0,0,0,0,0
A2,INVAR-21,100,0,0,0,0,0
A2,INVAR-22,100,65,0,0,0,65
A2,INVAR-23,100,74,0,0,0,74
A2,INVAR-24,100,64,0,0,0,64
A2,INVAR-25,100,41,0,0,0,41
A2,INVAR-26,100,100,0,0,0,100
A2,INVAR-27,100,100,0,0,0,100
A2,INVAR-28,100,28,0,0,0,28
A2,INVAR-29,100,100,0,0,0,100
A2,INVAR-3,100,59,0,0,0,59
A2,INVAR-30,100,100,0,0,0,100
A2,INVAR-31,100,0,0,0,0,0
A2,INVAR-32,100,100,0,0,0,100
A2,INVAR-33,100,100,0,0,0,100
A2,INVAR-34,100,100,0,0,0,100
A2,INVAR-35,100,73,0,0,0,73
A2,INVAR-36,100,48,0,0,0,48
A2,INVAR-37,100,58,0,0,0,58
A2,INVAR-38,100,61,0,0,0,61
A2,INVAR-39,100,80,0,0,0,80
A2,INVAR-4,100,63,0,0,0,63
A2,INVAR-40,100,85,0,0,0,85
A2,INVAR-41,100,0,0,0,0,0
A2,INVAR-42,100,0,0,0,0,0
A2,INVAR-43,100,0,0,0,0,0
A2,INVAR-44,100,65,0,0,0,65
A2,INVAR-45,100,61,0,0,0,61
A2,INVAR-46,100,59,0,0,0,59
A2,INVAR-5,100,60,0,0,0,60
A2,INVAR-6,100,83,0,0,0,83
A2,INVAR-7,100,0,0,0,0,0
A2,INVAR-8,100,0,0,0,0,0
A2,INVAR-9,100,0,0,0,0,0
