Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B
10, Run: 014, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 015, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 016, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 017, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 018, P, 0, 0, 0, 659, 1, 1, 0, 70, 600, 0, 0
10, Run: 019, F, 0, 0, 0, 105, 0, 0, 41, 27, 0, 600, 0
10, Run: 020, F, 0, 0, 0, 92, 0, 0, 28, 40, 0, 600, 0
10, Run: 021, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 022, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 023, P, 0, 0, 0, 659, 1, 1, 0, 70, 600, 0, 0
10, Run: 024, P, 0, 0, 0, 659, 1, 1, 0, 70, 600, 0, 0
10, Run: 025, F, 0, 0, 0, 84, 0, 0, 20, 48, 0, 600, 0
10, Run: 026, F, 0, 0, 0, 70, 0, 0, 6, 62, 0, 600, 0
10, Run: 027, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 028, F, 0, 0, 0, 83, 0, 0, 21, 48, 0, 600, 0
10, Run: 029, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 030, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 031, F, 0, 0, 0, 96, 0, 0, 32, 36, 0, 600, 0
10, Run: 032, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 033, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 034, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 035, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 036, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 037, F, 0, 0, 0, 98, 0, 0, 32, 35, 0, 600, 0
10, Run: 038, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 039, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 040, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 041, F, 0, 0, 0, 88, 0, 0, 26, 43, 0, 600, 0
10, Run: 042, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 043, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 044, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 045, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 046, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 047, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 048, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 049, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 050, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 051, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 052, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 053, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 054, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 055, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 056, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 057, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 058, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 059, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 060, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 061, F, 0, 0, 0, 73, 0, 0, 11, 58, 0, 600, 0
10, Run: 062, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 063, P, 1, 0, 0, 129, 0, 0, 71, 0, 0, 600, 0
10, Run: 064, F, 0, 0, 0, 98, 0, 0, 36, 33, 0, 600, 0
10, Run: 065, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 066, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 067, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 068, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 069, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 070, P, 0, 0, 0, 657, 1, 1, 0, 71, 600, 0, 0
10, Run: 071, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 072, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 073, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 074, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 075, P, 0, 0, 0, 659, 1, 1, 0, 70, 600, 0, 0
10, Run: 076, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 077, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 078, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 079, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 080, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 081, P, 1, 0, 0, 133, 0, 0, 67, 0, 0, 600, 0
10, Run: 082, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 083, P, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0
10, Run: 084, F, 0, 0, 0, 72, 0, 0, 14, 57, 0, 600, 0
10, Run: 085, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 086, P, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0
10, Run: 087, F, 0, 0, 0, 91, 0, 0, 29, 40, 0, 600, 0
10, Run: 088, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 089, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 090, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 091, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 092, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 093, P, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0
10, Run: 094, P, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0
10, Run: 095, P, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0
10, Run: 096, F, 0, 0, 0, 92, 0, 0, 32, 38, 0, 600, 0
10, Run: 097, P, 1, 0, 0, 129, 0, 0, 71, 0, 0, 600, 0
10, Run: 098, F, 0, 0, 0, 102, 0, 0, 40, 29, 0, 600, 0
10, Run: 099, P, 0, 0, 0, 665, 1, 1, 0, 67, 600, 0, 0
10, Run: 100, F, 0, 0, 0, 107, 0, 0, 43, 25, 0, 600, 0
2, Run: 001, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 002, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 003, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 004, P, 0, 0, 0, 181, 1, 1, 0, 21, 168, 0, 0
2, Run: 005, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 006, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 007, F, 0, 0, 0, 35, 0, 0, 17, 2, 0, 168, 0
2, Run: 008, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 009, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 010, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 011, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 012, F, 0, 0, 0, 23, 0, 0, 7, 13, 0, 168, 0
2, Run: 013, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 014, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 015, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 016, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 017, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 018, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 019, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 020, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 021, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 022, F, 0, 0, 0, 20, 0, 0, 4, 16, 0, 168, 0
2, Run: 023, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 024, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 025, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 026, F, 0, 0, 0, 24, 0, 0, 1, 19, 7, 161, 0
2, Run: 027, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 028, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 029, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 030, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 031, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 032, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 033, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 034, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 035, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 036, F, 0, 0, 0, 25, 0, 0, 7, 12, 0, 168, 0
2, Run: 037, F, 0, 0, 0, 27, 0, 0, 9, 10, 0, 168, 0
2, Run: 038, F, 0, 0, 0, 31, 0, 0, 13, 6, 0, 168, 0
2, Run: 039, F, 0, 0, 0, 26, 0, 0, 8, 11, 0, 168, 0
2, Run: 040, F, 0, 0, 0, 19, 0, 0, 3, 17, 0, 168, 0
2, Run: 041, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 042, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 043, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 044, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 045, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 046, F, 0, 0, 0, 20, 0, 0, 4, 16, 0, 168, 0
2, Run: 047, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 048, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 049, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 050, F, 0, 0, 0, 24, 0, 0, 6, 13, 0, 168, 0
2, Run: 051, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 052, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 053, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 054, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 055, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 056, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 057, F, 0, 0, 0, 22, 0, 0, 6, 14, 0, 168, 0
2, Run: 058, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 059, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 060, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 061, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 062, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 063, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 064, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 065, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 066, P, 0, 0, 0, 181, 1, 1, 0, 21, 168, 0, 0
2, Run: 067, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 068, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 069, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 070, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 071, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 072, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 073, P, 1, 0, 0, 37, 0, 0, 19, 0, 0, 168, 0
2, Run: 074, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 075, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 076, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 077, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 078, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 079, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 080, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 081, F, 0, 0, 0, 23, 0, 0, 1, 18, 4, 164, 0
2, Run: 082, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 083, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 084, F, 0, 0, 0, 35, 0, 0, 19, 1, 0, 168, 0
2, Run: 085, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 086, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 087, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 088, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 089, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 090, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 091, F, 0, 0, 0, 35, 0, 0, 17, 2, 0, 168, 0
2, Run: 092, P, 1, 0, 0, 36, 0, 0, 20, 0, 0, 168, 0
2, Run: 093, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 094, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 095, P, 0, 0, 0, 185, 1, 1, 0, 19, 168, 0, 0
2, Run: 096, P, 1, 0, 0, 35, 0, 0, 21, 0, 0, 168, 0
2, Run: 097, P, 0, 0, 0, 181, 1, 1, 0, 21, 168, 0, 0
2, Run: 098, P, 1, 0, 0, 37, 0, 0, 19, 0, 0, 168, 0
2, Run: 099, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
2, Run: 100, P, 0, 0, 0, 183, 1, 1, 0, 20, 168, 0, 0
3, Run: 001, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 002, P, 0, 0, 0, 543, 1, 1, 0, 56, 492, 0, 0
3, Run: 003, P, 1, 0, 0, 105, 0, 0, 59, 0, 0, 492, 0
3, Run: 004, F, 0, 0, 0, 65, 0, 0, 15, 42, 0, 492, 0
3, Run: 005, F, 0, 0, 0, 58, 0, 0, 6, 50, 0, 492, 0
3, Run: 006, P, 0, 0, 0, 543, 1, 1, 0, 56, 492, 0, 0
3, Run: 007, P, 1, 0, 0, 106, 0, 0, 58, 0, 0, 492, 0
3, Run: 008, P, 0, 0, 0, 543, 1, 1, 0, 56, 492, 0, 0
3, Run: 009, F, 0, 0, 0, 62, 0, 0, 10, 46, 0, 492, 0
3, Run: 010, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 011, P, 0, 0, 0, 541, 1, 1, 0, 57, 492, 0, 0
3, Run: 012, P, 1, 0, 0, 106, 0, 0, 58, 0, 0, 492, 0
3, Run: 013, P, 0, 0, 0, 543, 1, 1, 0, 56, 492, 0, 0
3, Run: 014, P, 1, 0, 0, 106, 0, 0, 58, 0, 0, 492, 0
3, Run: 015, F, 0, 0, 0, 135, 0, 0, 0, 57, 85, 407, 0
3, Run: 016, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 017, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 018, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 019, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 020, P, 0, 0, 0, 545, 1, 1, 0, 55, 492, 0, 0
3, Run: 021, P, 1, 0, 0, 107, 0, 0, 57, 0, 0, 492, 0
3, Run: 022, P, 1, 0, 0, 106, 0, 0, 58, 0, 0, 492, 0
3, Run: 023, P, 0, 0, 0, 539, 1, 1, 0, 58, 492, 0, 0
