Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 10, 0, 9, 5, 3, 9, 0, 0, 19, 0
INVAR-1, Run: 002, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 13, 0, 9, 8, 0, 9, 0, 0, 22, 0
INVAR-1, Run: 003, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 6, 0, 9, 5, 3, 9, 0, 0, 15, 0
INVAR-1, Run: 004, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 11, 0, 9, 5, 3, 9, 0, 0, 20, 0
INVAR-1, Run: 005, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 20, 0, 9, 5, 3, 9, 0, 0, 29, 0
INVAR-1, Run: 006, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 14, 0, 9, 7, 1, 9, 0, 0, 23, 0
INVAR-1, Run: 007, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 9, 0, 9, 6, 2, 9, 0, 0, 18, 0
INVAR-1, Run: 008, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 12, 0, 9, 7, 1, 9, 0, 0, 21, 0
INVAR-1, Run: 009, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 10, 0, 9, 8, 0, 9, 0, 0, 19, 0
INVAR-1, Run: 010, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 25, 0, 9, 7, 1, 9, 0, 0, 34, 0
INVAR-1, Run: 011, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 16, 0, 9, 6, 2, 9, 0, 0, 25, 0
INVAR-1, Run: 012, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 15, 0, 9, 8, 0, 9, 0, 0, 24, 0
INVAR-1, Run: 013, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 12, 0, 9, 6, 2, 9, 0, 0, 21, 0
INVAR-1, Run: 014, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 23, 0, 9, 4, 4, 9, 0, 0, 32, 0
INVAR-1, Run: 015, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 11, 0, 9, 3, 5, 9, 0, 0, 20, 0
INVAR-1, Run: 016, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 22, 0, 9, 5, 3, 9, 0, 0, 31, 0
INVAR-1, Run: 017, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 10, 0, 9, 7, 1, 9, 0, 0, 19, 0
INVAR-1, Run: 018, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 15, 0, 9, 1, 7, 9, 0, 0, 24, 0
INVAR-1, Run: 019, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 18, 0, 9, 6, 2, 9, 0, 0, 27, 0
INVAR-1, Run: 020, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 13, 0, 9, 3, 5, 9, 0, 0, 22, 0
INVAR-1, Run: 021, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 7, 0, 9, 3, 5, 9, 0, 0, 16, 0
INVAR-1, Run: 022, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 16, 0, 9, 4, 4, 9, 0, 0, 25, 0
INVAR-1, Run: 023, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 18, 0, 9, 5, 3, 9, 0, 0, 27, 0
INVAR-1, Run: 024, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 5, 0, 9, 5, 3, 9, 0, 0, 14, 0
INVAR-1, Run: 025, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 15, 0, 9, 5, 3, 9, 0, 0, 24, 0
INVAR-1, Run: 026, P, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 0, 18, 9, 0, 9, 5, 3, 9, 0, 0, 18, 0
